subj,age,gender,culture,coded
100,9 years,female,Iceland,length
101,15 years,male,Iceland,trust
108,9 years,female,Iceland,activity
111,15 years,male,Iceland,trust
112,9 years,male,Iceland,length
114,12 years,male,Iceland,feelings
115,15 years,male,Iceland,activity
117,12 years,male,Iceland,length
118,15 years,male,Iceland,activity
120,9 years,female,Iceland,activity
122,12 years,female,Iceland,length
124,9 years,male,Iceland,activity
125,9 years,male,Iceland,activity
127,15 years,female,Iceland,activity
130,15 years,female,Iceland,length
133,9 years,male,Iceland,trust
134,12 years,female,Iceland,length
137,15 years,male,Iceland,activity
140,15 years,female,Iceland,length
141,15 years,female,Iceland,trust
143,9 years,female,Iceland,length
149,15 years,female,Iceland,helping
154,9 years,male,Iceland,activity
155,12 years,male,Iceland,length
158,12 years,male,Iceland,helping
159,15 years,male,Iceland,feelings
161,15 years,female,Iceland,feelings
162,12 years,female,Iceland,activity
164,15 years,male,Iceland,length
167,12 years,male,Iceland,activity
168,12 years,female,Iceland,feelings
170,15 years,male,Iceland,trust
171,12 years,male,Iceland,length
175,15 years,male,Iceland,feelings
177,12 years,female,Iceland,length
180,9 years,female,Iceland,activity
183,9 years,male,Iceland,activity
184,9 years,male,Iceland,activity
186,7 years,male,Iceland,activity
187,9 years,female,Iceland,trust
188,12 years,female,Iceland,length
192,15 years,female,Iceland,activity
193,15 years,female,Iceland,length
197,12 years,male,Iceland,activity
199,15 years,female,Iceland,helping
202,15 years,female,Iceland,helping
214,12 years,female,Iceland,length
215,9 years,male,Iceland,activity
219,15 years,male,Iceland,length
220,12 years,male,Iceland,helping
221,9 years,female,Iceland,length
223,12 years,female,Iceland,activity
224,9 years,female,Iceland,activity
225,12 years,male,Iceland,activity
229,9 years,female,Iceland,length
230,7 years,female,Iceland,activity
233,9 years,female,Iceland,activity
238,12 years,female,Iceland,length
239,7 years,male,Iceland,length
248,12 years,male,Iceland,trust
252,15 years,male,Iceland,feelings
258,15 years,female,Iceland,helping
260,15 years,female,Iceland,length
262,12 years,male,Iceland,length
264,7 years,female,Iceland,length
270,12 years,female,Iceland,length
271,15 years,female,Iceland,length
277,7 years,male,Iceland,length
278,12 years,male,Iceland,feelings
279,9 years,male,Iceland,length
282,15 years,male,Iceland,helping
283,15 years,male,Iceland,trust
284,15 years,male,Iceland,feelings
285,9 years,female,Iceland,activity
288,15 years,female,Iceland,length
295,9 years,female,Iceland,length
296,9 years,male,Iceland,activity
301,12 years,male,Iceland,helping
303,12 years,male,Iceland,helping
304,15 years,female,Iceland,feelings
305,9 years,female,Iceland,activity
307,9 years,female,Iceland,activity
317,12 years,female,Iceland,activity
318,15 years,male,Iceland,helping
319,15 years,male,Iceland,helping
323,15 years,male,Iceland,trust
326,9 years,male,Iceland,activity
327,15 years,female,Iceland,length
329,9 years,female,Iceland,length
331,15 years,male,Iceland,length
332,15 years,female,Iceland,length
333,7 years,female,Iceland,activity
334,12 years,female,Iceland,activity
339,15 years,male,Iceland,trust
340,9 years,female,Iceland,length
342,9 years,female,Iceland,activity
343,9 years,male,Iceland,activity
349,7 years,female,Iceland,activity
353,15 years,female,Iceland,trust
361,15 years,female,Iceland,helping
362,9 years,female,Iceland,activity
363,12 years,male,Iceland,length
365,9 years,male,Iceland,activity
367,9 years,female,Iceland,activity
368,12 years,male,Iceland,activity
374,9 years,male,Iceland,trust
375,15 years,female,Iceland,trust
384,12 years,male,Iceland,length
387,15 years,male,Iceland,trust
388,9 years,female,Iceland,activity
390,15 years,male,Iceland,norms
391,15 years,female,Iceland,activity
393,9 years,male,Iceland,norms
394,9 years,female,Iceland,activity
395,15 years,female,Iceland,length
398,15 years,male,Iceland,activity
400,15 years,male,Iceland,activity
401,7 years,male,Iceland,activity
405,7 years,male,Iceland,activity
407,15 years,male,Iceland,norms
409,15 years,male,Iceland,length
410,9 years,male,Iceland,activity
412,7 years,male,Iceland,length
414,15 years,female,Iceland,norms
417,12 years,male,Iceland,norms
418,12 years,male,Iceland,activity
420,15 years,male,Iceland,length
422,7 years,female,Iceland,activity
427,15 years,female,Iceland,activity
428,15 years,female,Iceland,length
429,9 years,female,Iceland,activity
435,12 years,female,Iceland,length
436,12 years,female,Iceland,activity
437,12 years,male,Iceland,length
440,12 years,female,Iceland,activity
445,12 years,female,Iceland,activity
446,15 years,male,Iceland,trust
448,12 years,male,Iceland,norms
449,7 years,male,Iceland,length
451,15 years,male,Iceland,feelings
455,15 years,female,Iceland,trust
456,7 years,male,Iceland,activity
457,15 years,male,Iceland,activity
458,15 years,female,Iceland,length
462,9 years,female,Iceland,length
466,15 years,female,Iceland,activity
467,15 years,female,Iceland,feelings
470,9 years,male,Iceland,activity
471,9 years,female,Iceland,length
472,12 years,male,Iceland,activity
473,9 years,male,Iceland,activity
474,12 years,female,Iceland,length
479,15 years,male,Iceland,trust
482,12 years,male,Iceland,activity
484,9 years,female,Iceland,activity
489,15 years,female,Iceland,length
491,7 years,female,Iceland,activity
492,15 years,female,Iceland,feelings
8,12 years,female,Russia,norms
9,15 years,female,Russia,length
17,15 years,male,Russia,helping
29,15 years,female,Russia,length
35,12 years,male,Russia,trust
36,15 years,female,Russia,feelings
37,12 years,female,Russia,length
47,9 years,female,Russia,length
54,9 years,female,Russia,feelings
63,9 years,male,Russia,norms
64,12 years,female,Russia,helping
70,9 years,male,Russia,norms
76,9 years,female,Russia,norms
79,9 years,female,Russia,helping
91,9 years,female,Russia,trust
95,12 years,female,Russia,norms
110,7 years,female,Russia,helping
123,15 years,female,Russia,feelings
128,12 years,female,Russia,helping
138,9 years,male,Russia,length
145,15 years,female,Russia,helping
148,12 years,female,Russia,feelings
166,9 years,male,Russia,helping
172,7 years,male,Russia,length
174,9 years,female,Russia,norms
185,7 years,female,Russia,helping
203,9 years,female,Russia,norms
206,9 years,male,Russia,length
211,9 years,male,Russia,activity
212,7 years,female,Russia,activity
216,15 years,male,Russia,helping
222,15 years,male,Russia,trust
231,15 years,male,Russia,activity
234,12 years,female,Russia,trust
236,12 years,female,Russia,feelings
245,12 years,male,Russia,length
246,9 years,male,Russia,norms
249,9 years,male,Russia,activity
256,15 years,female,Russia,length
267,15 years,female,Russia,feelings
287,12 years,male,Russia,helping
289,15 years,female,Russia,length
298,9 years,male,Russia,trust
325,7 years,male,Russia,activity
346,9 years,male,Russia,helping
358,9 years,female,Russia,length
364,15 years,female,Russia,feelings
370,15 years,female,Russia,length
378,7 years,male,Russia,length
381,15 years,male,Russia,activity
383,9 years,female,Russia,activity
385,9 years,female,Russia,helping
403,9 years,male,Russia,helping
419,7 years,female,Russia,feelings
424,9 years,male,Russia,activity
444,12 years,male,Russia,length
468,9 years,female,Russia,norms
469,12 years,male,Russia,feelings
476,15 years,male,Russia,length
500,15 years,female,Russia,feelings
503,15 years,female,Russia,activity
504,12 years,female,Russia,trust
506,15 years,female,Russia,activity
512,15 years,male,Russia,length
518,15 years,male,Russia,length
539,12 years,male,Russia,feelings
555,7 years,male,Russia,length
569,12 years,male,Russia,activity
574,15 years,female,Russia,trust
575,15 years,male,Russia,trust
577,7 years,female,Russia,activity
583,7 years,female,Russia,helping
597,9 years,male,Russia,length
611,9 years,male,Russia,activity
613,12 years,male,Russia,helping
615,9 years,female,Russia,helping
627,15 years,female,Russia,trust
632,7 years,female,Russia,length
644,7 years,male,Russia,trust
650,12 years,female,Russia,feelings
655,12 years,female,Russia,activity
658,12 years,female,Russia,trust
661,7 years,female,Russia,length
665,12 years,female,Russia,helping
668,9 years,male,Russia,activity
674,15 years,male,Russia,activity
682,7 years,female,Russia,activity
686,7 years,female,Russia,length
690,9 years,female,Russia,activity
696,7 years,male,Russia,length
708,12 years,male,Russia,activity
711,9 years,female,Russia,feelings
713,7 years,female,Russia,activity
716,7 years,female,Russia,activity
721,9 years,female,Russia,activity
730,12 years,male,Russia,helping
740,12 years,female,Russia,activity
762,7 years,female,Russia,activity
775,7 years,male,Russia,length
793,7 years,female,Russia,helping
807,7 years,female,Russia,helping
814,15 years,male,Russia,norms
819,9 years,male,Russia,activity
822,15 years,male,Russia,feelings
828,9 years,female,Russia,feelings
838,12 years,male,Russia,trust
843,9 years,female,Russia,activity
845,7 years,female,Russia,activity
850,7 years,female,Russia,length
858,7 years,female,Russia,feelings
866,9 years,female,Russia,activity
867,15 years,male,Russia,feelings
873,12 years,male,Russia,helping
876,7 years,female,Russia,activity
879,15 years,male,Russia,activity
880,12 years,female,Russia,activity
895,7 years,female,Russia,helping
902,12 years,male,Russia,helping
920,7 years,female,Russia,feelings
929,15 years,male,Russia,feelings
930,9 years,female,Russia,length
934,9 years,male,Russia,length
953,15 years,male,Russia,length
962,12 years,male,Russia,activity
963,7 years,female,Russia,length
969,9 years,male,Russia,length
970,9 years,female,Russia,trust
972,12 years,female,Russia,helping
974,7 years,male,Russia,activity
981,12 years,female,Russia,feelings
982,9 years,male,Russia,activity
987,12 years,male,Russia,trust
995,15 years,male,Russia,helping
1003,9 years,female,Russia,activity
1015,7 years,male,Russia,activity
1027,9 years,male,Russia,activity
1035,12 years,female,Russia,helping
1043,12 years,male,Russia,helping
1052,15 years,female,Russia,helping
1059,12 years,female,Russia,helping
1066,9 years,male,Russia,norms
1069,9 years,male,Russia,activity
1078,15 years,female,Russia,helping
1079,9 years,female,Russia,length
1082,15 years,female,Russia,feelings
1086,12 years,male,Russia,feelings
1090,9 years,male,Russia,feelings
1097,7 years,female,Russia,length
1099,9 years,female,Russia,activity
1106,9 years,male,Russia,activity
1110,7 years,male,Russia,activity
1115,7 years,female,Russia,activity
1130,12 years,male,Russia,helping
1131,9 years,female,Russia,length
1153,12 years,male,Russia,activity
1164,9 years,male,Russia,length
1167,15 years,male,Russia,helping
1172,7 years,male,Russia,activity
1179,15 years,female,Russia,activity
1181,15 years,male,Russia,helping
1195,9 years,male,Russia,length
1203,12 years,female,Russia,activity
1210,15 years,male,Russia,activity
1218,7 years,male,Russia,activity
1239,7 years,male,Russia,length
1241,7 years,male,Russia,length
1243,12 years,female,Russia,activity
1248,9 years,male,Russia,length
1257,7 years,female,Russia,activity
1258,9 years,male,Russia,length
1289,9 years,female,Russia,trust
1291,15 years,female,Russia,activity
1298,9 years,male,Russia,helping
1308,9 years,male,Russia,helping
1318,7 years,male,Russia,length
1320,12 years,male,Russia,feelings
1329,15 years,female,Russia,feelings
1330,12 years,male,Russia,activity
1337,12 years,female,Russia,helping
1340,15 years,male,Russia,helping
1357,9 years,female,Russia,norms
1366,12 years,female,Russia,norms
1367,9 years,male,Russia,helping
1380,12 years,male,Russia,length
1413,9 years,female,Russia,activity
1422,15 years,female,Russia,helping
1428,12 years,male,Russia,helping
1445,12 years,female,Russia,length
1448,15 years,male,Russia,feelings
1453,7 years,female,Russia,length
1454,7 years,female,Russia,activity
1456,12 years,male,Russia,helping
1464,15 years,female,Russia,helping
1469,9 years,female,Russia,activity
1485,7 years,male,Russia,feelings
1490,12 years,male,Russia,length
19,9 years,female,East Germany,trust
20,15 years,male,East Germany,activity
71,9 years,female,East Germany,length
73,15 years,male,East Germany,feelings
74,12 years,male,East Germany,length
77,12 years,male,East Germany,activity
80,9 years,male,East Germany,helping
104,12 years,female,East Germany,helping
136,9 years,male,East Germany,length
152,15 years,female,East Germany,helping
156,7 years,female,East Germany,length
178,15 years,female,East Germany,helping
179,9 years,female,East Germany,activity
182,15 years,male,East Germany,length
200,9 years,male,East Germany,length
204,15 years,male,East Germany,length
208,15 years,female,East Germany,helping
209,15 years,female,East Germany,feelings
213,9 years,female,East Germany,activity
227,9 years,female,East Germany,feelings
235,12 years,female,East Germany,length
242,9 years,female,East Germany,activity
244,12 years,male,East Germany,length
247,12 years,male,East Germany,activity
292,12 years,male,East Germany,trust
300,15 years,female,East Germany,helping
302,9 years,male,East Germany,activity
312,15 years,female,East Germany,length
314,7 years,male,East Germany,norms
344,12 years,female,East Germany,activity
345,15 years,female,East Germany,activity
355,7 years,female,East Germany,length
404,12 years,male,East Germany,activity
426,7 years,female,East Germany,activity
431,9 years,male,East Germany,activity
452,7 years,male,East Germany,helping
486,9 years,female,East Germany,activity
488,9 years,male,East Germany,length
490,15 years,male,East Germany,feelings
495,12 years,male,East Germany,trust
511,15 years,female,East Germany,feelings
538,7 years,female,East Germany,length
546,15 years,male,East Germany,activity
563,7 years,female,East Germany,helping
564,7 years,female,East Germany,activity
588,15 years,male,East Germany,activity
621,12 years,female,East Germany,activity
625,12 years,male,East Germany,trust
643,15 years,female,East Germany,helping
653,9 years,female,East Germany,length
656,15 years,female,East Germany,length
657,9 years,female,East Germany,feelings
706,7 years,female,East Germany,length
707,15 years,female,East Germany,trust
712,7 years,male,East Germany,helping
727,9 years,male,East Germany,length
738,9 years,male,East Germany,length
768,15 years,male,East Germany,norms
777,15 years,male,East Germany,helping
782,9 years,male,East Germany,helping
784,7 years,female,East Germany,activity
789,7 years,male,East Germany,activity
797,9 years,female,East Germany,length
810,9 years,female,East Germany,feelings
830,7 years,male,East Germany,activity
846,12 years,male,East Germany,activity
854,15 years,male,East Germany,trust
875,9 years,male,East Germany,length
881,9 years,NA,East Germany,length
894,15 years,male,East Germany,activity
905,15 years,female,East Germany,trust
911,7 years,male,East Germany,helping
919,7 years,male,East Germany,activity
931,9 years,male,East Germany,helping
940,9 years,male,East Germany,length
942,15 years,male,East Germany,helping
950,15 years,female,East Germany,trust
988,12 years,female,East Germany,length
992,12 years,female,East Germany,feelings
1018,9 years,male,East Germany,length
1019,12 years,female,East Germany,activity
1026,9 years,male,East Germany,activity
1034,7 years,female,East Germany,activity
1042,15 years,female,East Germany,activity
1061,9 years,female,East Germany,feelings
1062,12 years,female,East Germany,length
1067,12 years,male,East Germany,helping
1107,7 years,female,East Germany,length
1109,15 years,male,East Germany,feelings
1117,9 years,male,East Germany,length
1136,9 years,NA,East Germany,activity
1148,12 years,female,East Germany,activity
1173,12 years,male,East Germany,norms
1183,15 years,male,East Germany,length
1211,12 years,male,East Germany,activity
1222,15 years,male,East Germany,trust
1224,7 years,male,East Germany,length
1226,15 years,male,East Germany,activity
1244,15 years,female,East Germany,activity
1246,7 years,female,East Germany,activity
1268,9 years,female,East Germany,activity
1275,7 years,female,East Germany,length
1280,9 years,male,East Germany,length
1283,12 years,male,East Germany,activity
1296,9 years,female,East Germany,activity
1305,9 years,female,East Germany,activity
1309,7 years,male,East Germany,activity
1319,9 years,male,East Germany,activity
1343,12 years,female,East Germany,feelings
1361,9 years,male,East Germany,activity
1394,9 years,female,East Germany,feelings
1396,9 years,male,East Germany,length
1407,9 years,female,East Germany,length
1415,15 years,male,East Germany,feelings
1419,15 years,female,East Germany,activity
1421,12 years,female,East Germany,length
1424,12 years,female,East Germany,feelings
1437,12 years,male,East Germany,activity
1440,7 years,male,East Germany,helping
1457,12 years,female,East Germany,activity
1459,7 years,male,East Germany,activity
1470,9 years,female,East Germany,helping
1472,9 years,female,East Germany,helping
1501,7 years,female,East Germany,length
1509,7 years,male,East Germany,activity
1510,12 years,female,East Germany,activity
1511,9 years,male,East Germany,activity
1518,15 years,male,East Germany,norms
1528,12 years,female,East Germany,activity
1538,7 years,male,East Germany,length
1559,7 years,male,East Germany,helping
1579,15 years,male,East Germany,helping
1599,15 years,female,East Germany,activity
1602,9 years,female,East Germany,activity
1606,12 years,male,East Germany,length
1625,7 years,female,East Germany,length
1627,7 years,female,East Germany,activity
1640,9 years,female,East Germany,activity
1655,15 years,male,East Germany,length
1663,9 years,female,East Germany,activity
1664,9 years,female,East Germany,length
1692,15 years,female,East Germany,length
1697,9 years,female,East Germany,activity
1713,12 years,male,East Germany,length
1743,12 years,female,East Germany,activity
1744,12 years,male,East Germany,helping
1770,12 years,female,East Germany,feelings
1820,9 years,male,East Germany,length
1838,9 years,male,East Germany,activity
1854,12 years,male,East Germany,activity
1860,9 years,female,East Germany,activity
1866,7 years,female,East Germany,activity
1886,15 years,male,East Germany,length
1915,7 years,male,East Germany,activity
1927,12 years,female,East Germany,activity
1963,9 years,female,East Germany,activity
1971,9 years,male,East Germany,trust
1976,12 years,male,East Germany,length
2003,9 years,female,East Germany,length
2015,7 years,male,East Germany,activity
2017,15 years,male,East Germany,length
2052,15 years,male,East Germany,feelings
2069,15 years,male,East Germany,length
2072,7 years,male,East Germany,norms
2083,12 years,female,East Germany,length
2084,9 years,female,East Germany,length
2113,9 years,female,East Germany,length
2120,7 years,female,East Germany,helping
2123,15 years,female,East Germany,helping
2130,7 years,male,East Germany,activity
2172,9 years,female,East Germany,length
2191,7 years,female,East Germany,activity
2212,9 years,female,East Germany,helping
2218,9 years,male,East Germany,activity
2257,15 years,male,East Germany,trust
2262,15 years,female,East Germany,activity
2268,12 years,male,East Germany,activity
2309,12 years,male,East Germany,activity
2311,9 years,male,East Germany,helping
2357,7 years,male,East Germany,length
2365,9 years,male,East Germany,activity
2379,9 years,male,East Germany,length
2386,9 years,female,East Germany,length
2387,7 years,male,East Germany,length
2411,12 years,female,East Germany,trust
2418,7 years,male,East Germany,length
2438,9 years,female,East Germany,length
2446,12 years,male,East Germany,activity
2471,12 years,male,East Germany,feelings
2478,9 years,male,East Germany,feelings
2485,9 years,male,East Germany,activity
2486,7 years,male,East Germany,activity
2491,9 years,male,East Germany,norms
2495,15 years,male,East Germany,feelings
2522,9 years,female,East Germany,activity
2524,9 years,male,East Germany,activity
