SRN,who,group,qu,rating
1003731,other,social,22,2
1003731,other,health,23,5
1003731,other,recreation,24,4
1003731,other,recreation,25,4
1003731,other,health,26,6
1003731,other,social,27,1
1003731,other,social,28,3
1003731,other,ethical,30,5
1003732,you,social,1,5
1003732,you,recreation,2,6
1003732,you,financial,3,6
1003732,you,health,5,5
1003732,you,ethical,6,5
1003732,you,social,7,1
1003732,you,financial,8,5
1003732,you,ethical,9,7
1003732,you,ethical,10,7
1003732,you,recreation,11,5
1003732,you,financial,12,5
1003732,you,recreation,13,5
1003732,you,financial,14,4
1003732,you,health,17,4
1003732,you,financial,18,7
1003732,you,recreation,19,5
1003732,you,health,20,7
1003732,you,social,21,1
1003732,you,social,22,5
1003732,you,health,23,6
1003732,you,recreation,24,4
1003732,you,recreation,25,3
1003732,you,health,26,5
1003732,you,social,27,2
1003732,you,social,28,5
1003732,you,ethical,30,6
1003732,other,social,1,3
1003732,other,recreation,2,5
1003732,other,financial,3,4
1003732,other,health,5,4
1003732,other,ethical,6,5
1003732,other,social,7,1
1003732,other,financial,8,4
1003732,other,ethical,9,5
1003732,other,ethical,10,5
1003732,other,recreation,11,5
1003732,other,financial,12,4
1003732,other,recreation,13,4
1003732,other,financial,14,6
1003732,other,health,17,4
1003732,other,financial,18,7
1003732,other,recreation,19,3
1003732,other,health,20,7
1003732,other,social,21,1
1003732,other,social,22,5
1003732,other,health,23,6
1003732,other,recreation,24,1
1003732,other,recreation,25,3
1003732,other,health,26,5
1003732,other,social,27,1
1003732,other,social,28,6
1003732,other,ethical,30,5
1003733,you,social,1,2
1003733,you,recreation,2,5
1003733,you,financial,3,5
1003733,you,health,5,6
1003733,you,ethical,6,7
1003733,you,social,7,3
1003733,you,financial,8,3
1003733,you,ethical,9,5
1003733,you,ethical,10,7
1003733,you,recreation,11,5
1003733,you,financial,12,6
1003733,you,recreation,13,5
1003733,you,financial,14,5
1003733,you,health,17,4
1003733,you,financial,18,6
1003733,you,recreation,19,4
1003733,you,health,20,7
1003733,you,social,21,4
1003733,you,social,22,4
1003733,you,health,23,6
1003733,you,recreation,24,4
1003733,you,recreation,25,4
1003733,you,health,26,7
1003733,you,social,27,2
1003733,you,social,28,2
1003733,you,ethical,30,7
1003733,other,social,1,2
1003733,other,recreation,2,5
1003733,other,financial,3,5
1003733,other,health,5,5
1003733,other,ethical,6,5
1003733,other,social,7,3
1003733,other,financial,8,1
1003733,other,ethical,9,5
1003733,other,ethical,10,5
1003733,other,recreation,11,5
1003733,other,financial,12,4
1003733,other,recreation,13,5
1003733,other,financial,14,5
1003733,other,health,17,3
1003733,other,financial,18,5
1003733,other,recreation,19,4
1003733,other,health,20,7
1003733,other,social,21,2
1003733,other,social,22,3
1003733,other,health,23,4
1003733,other,recreation,24,2
1003733,other,recreation,25,3
1003733,other,health,26,6
1003733,other,social,27,2
1003733,other,social,28,1
1003733,other,ethical,30,6
1003734,you,social,1,2
1003734,you,recreation,2,4
1003734,you,financial,3,4
1003734,you,health,5,6
1003734,you,ethical,6,7
1003734,you,social,7,4
1003734,you,financial,8,5
1003734,you,ethical,9,5
1003734,you,ethical,10,5
1003734,you,recreation,11,4
1003734,you,financial,12,5
1003734,you,recreation,13,3
1003734,you,financial,14,5
1003734,you,health,17,7
1003734,you,financial,18,4
1003734,you,recreation,19,4
1003734,you,health,20,7
1003734,you,social,21,4
1003734,you,social,22,3
1003734,you,health,23,4
1003734,you,recreation,24,4
1003734,you,recreation,25,7
1003734,you,health,26,7
1003734,you,social,27,2
1003734,you,social,28,4
1003734,you,ethical,30,7
1003734,other,social,1,1
1003734,other,recreation,2,2
1003734,other,financial,3,3
1003734,other,health,5,4
1003734,other,ethical,6,7
1003734,other,social,7,4
1003734,other,financial,8,4
1003734,other,ethical,9,5
1003734,other,ethical,10,6
1003734,other,recreation,11,3
1003734,other,financial,12,3
1003734,other,recreation,13,2
1003734,other,financial,14,3
1003734,other,health,17,6
1003734,other,financial,18,1
1003734,other,recreation,19,1
1003734,other,health,20,7
1003734,other,social,21,3
1003734,other,social,22,2
1003734,other,health,23,3
1003734,other,recreation,24,3
1003734,other,recreation,25,6
1003734,other,health,26,6
1003734,other,social,27,1
1003734,other,social,28,2
1003734,other,ethical,30,5
1003735,you,social,1,1
1003735,you,recreation,2,2
1003735,you,financial,3,6
1003735,you,health,5,6
1003735,you,ethical,6,7
1003735,you,social,7,1
1003735,you,financial,8,2
1003735,you,ethical,9,7
1003735,you,ethical,10,4
1003735,you,recreation,11,3
1003735,you,financial,12,7
1003735,you,recreation,13,5
1003735,you,financial,14,5
1003735,you,health,17,5
1003735,you,financial,18,5
1003735,you,recreation,19,4
1003735,you,health,20,7
1003735,you,social,21,2
1003735,you,social,22,3
1003735,you,health,23,5
1003735,you,recreation,24,5
1003735,you,recreation,25,3
1003735,you,health,26,4
1003735,you,social,27,4
1003735,you,social,28,2
1003735,you,ethical,30,7
1003735,other,social,1,1
1003735,other,recreation,2,1
1003735,other,financial,3,5
1003735,other,health,5,5
1003735,other,ethical,6,7
1003735,other,social,7,1
1003735,other,financial,8,1
1003735,other,ethical,9,4
1003735,other,ethical,10,4
1003735,other,recreation,11,1
1003735,other,financial,12,6
1003735,other,recreation,13,4
1003735,other,financial,14,5
1003735,other,health,17,6
1003735,other,financial,18,4
1003735,other,recreation,19,2
1003735,other,health,20,5
1003735,other,social,21,1
1003735,other,social,22,2
1003735,other,health,23,4
1003735,other,recreation,24,4
1003735,other,recreation,25,1
1003735,other,health,26,4
1003735,other,social,27,2
1003735,other,social,28,1
1003735,other,ethical,30,5
1003736,you,social,1,2
1003736,you,recreation,2,5
1003736,you,financial,3,6
1003736,you,health,5,6
1003736,you,ethical,6,7
1003736,you,social,7,5
1003736,you,financial,8,4
1003736,you,ethical,9,7
1003736,you,ethical,10,6
1003736,you,recreation,11,5
1003736,you,financial,12,4
1003736,you,recreation,13,3
1003736,you,financial,14,4
1003736,you,health,17,5
1003736,you,financial,18,4
1003736,you,recreation,19,4
1003736,you,health,20,6
1003736,you,social,21,2
1003736,you,social,22,2
1003736,you,health,23,6
1003736,you,recreation,24,5
1003736,you,recreation,25,5
1003736,you,health,26,4
1003736,you,social,27,2
1003736,you,social,28,2
1003736,you,ethical,30,7
1003736,other,social,1,2
1003736,other,recreation,2,5
1003736,other,financial,3,4
1003736,other,health,5,4
1003736,other,ethical,6,7
1003736,other,social,7,4
1003736,other,financial,8,3
1003736,other,ethical,9,7
1003736,other,ethical,10,5
1003736,other,recreation,11,4
1003736,other,financial,12,3
1003736,other,recreation,13,3
1003736,other,financial,14,3
1003736,other,health,17,5
1003736,other,financial,18,5
1003736,other,recreation,19,4
1003736,other,health,20,5
1003736,other,social,21,3
1003736,other,social,22,3
1003736,other,health,23,5
1003736,other,recreation,24,4
1003736,other,recreation,25,4
1003736,other,health,26,2
1003736,other,social,27,1
1003736,other,social,28,1
1003736,other,ethical,30,7
1003737,you,social,1,3
1003737,you,recreation,2,3
1003737,you,financial,3,5
1003737,you,health,5,5
1003737,you,ethical,6,7
1003737,you,social,7,3
1003737,you,financial,8,4
1003737,you,ethical,9,7
1003737,you,ethical,10,7
1003737,you,recreation,11,5
1003737,you,financial,12,6
1003737,you,recreation,13,5
1003737,you,financial,14,5
1003737,you,health,17,5
1003737,you,financial,18,6
1003737,you,recreation,19,6
1003737,you,health,20,4
1003737,you,social,21,1
1003737,you,social,22,3
1003737,you,health,23,6
1003737,you,recreation,24,6
1003737,you,recreation,25,5
1003737,you,health,26,4
1003737,you,social,27,4
1003737,you,social,28,1
1003737,you,ethical,30,7
1003737,other,social,1,2
1003737,other,recreation,2,1
1003737,other,financial,3,3
1003737,other,health,5,4
1003737,other,ethical,6,7
1003737,other,social,7,3
1003737,other,financial,8,3
1003737,other,ethical,9,7
1003737,other,ethical,10,7
1003737,other,recreation,11,4
1003737,other,financial,12,3
1003737,other,recreation,13,3
1003737,other,financial,14,5
1003737,other,health,17,5
1003737,other,financial,18,4
1003737,other,recreation,19,6
1003737,other,health,20,4
1003737,other,social,21,1
1003737,other,social,22,2
1003737,other,health,23,5
1003737,other,recreation,24,5
1003737,other,recreation,25,4
1003737,other,health,26,4
1003737,other,social,27,2
1003737,other,social,28,1
1003737,other,ethical,30,7
1003738,you,social,1,3
1003738,you,recreation,2,4
1003738,you,financial,3,5
1003738,you,health,5,5
1003738,you,ethical,6,7
1003738,you,social,7,2
1003738,you,financial,8,5
1003738,you,ethical,9,7
1003738,you,ethical,10,7
1003738,you,recreation,11,4
1003738,you,financial,12,6
1003738,you,recreation,13,4
1003738,you,financial,14,4
1003738,you,health,17,6
1003738,you,financial,18,4
1003738,you,recreation,19,2
1003738,you,health,20,5
1003738,you,social,21,4
1003738,you,social,22,3
1003738,you,health,23,5
1003738,you,recreation,24,2
1003738,you,recreation,25,2
1003738,you,health,26,5
1003738,you,social,27,3
1003738,you,social,28,1
1003738,you,ethical,30,6
1003738,other,social,1,2
1003738,other,recreation,2,4
1003738,other,financial,3,5
1003738,other,health,5,4
1003738,other,ethical,6,6
1003738,other,social,7,2
1003738,other,financial,8,3
1003738,other,ethical,9,6
1003738,other,ethical,10,7
1003738,other,recreation,11,3
1003738,other,financial,12,6
1003738,other,recreation,13,4
1003738,other,financial,14,3
1003738,other,health,17,4
1003738,other,financial,18,4
1003738,other,recreation,19,1
1003738,other,health,20,4
1003738,other,social,21,2
1003738,other,social,22,2
1003738,other,health,23,4
1003738,other,recreation,24,1
1003738,other,recreation,25,1
1003738,other,health,26,4
1003738,other,social,27,1
1003738,other,social,28,1
1003738,other,ethical,30,3
1003739,you,social,1,4
1003739,you,recreation,2,4
1003739,you,financial,3,6
1003739,you,health,5,7
1003739,you,ethical,6,6
1003739,you,social,7,4
1003739,you,financial,8,5
1003739,you,ethical,9,5
1003739,you,ethical,10,6
1003739,you,recreation,11,3
1003739,you,financial,12,2
1003739,you,recreation,13,2
1003739,you,financial,14,6
1003739,you,health,17,5
1003739,you,financial,18,7
1003739,you,recreation,19,3
1003739,you,health,20,5
1003739,you,social,21,3
1003739,you,social,22,2
1003739,you,health,23,6
1003739,you,recreation,24,3
1003739,you,recreation,25,3
1003739,you,health,26,5
1003739,you,social,27,4
1003739,you,social,28,4
1003739,you,ethical,30,7
1003739,other,social,1,2
1003739,other,recreation,2,4
1003739,other,financial,3,7
1003739,other,health,5,5
1003739,other,ethical,6,3
1003739,other,social,7,2
1003739,other,financial,8,3
1003739,other,ethical,9,5
1003739,other,ethical,10,6
1003739,other,recreation,11,3
1003739,other,financial,12,1
1003739,other,recreation,13,1
1003739,other,financial,14,5
1003739,other,health,17,4
1003739,other,financial,18,5
1003739,other,recreation,19,1
1003739,other,health,20,4
1003739,other,social,21,2
1003739,other,social,22,2
1003739,other,health,23,4
1003739,other,recreation,24,4
1003739,other,recreation,25,1
1003739,other,health,26,3
1003739,other,social,27,3
1003739,other,social,28,2
1003739,other,ethical,30,6
1003740,you,social,1,4
1003740,you,recreation,2,3
1003740,you,financial,3,6
1003740,you,health,5,5
1003740,you,ethical,6,7
1003740,you,social,7,3
1003740,you,financial,8,6
1003740,you,ethical,9,5
1003740,you,ethical,10,7
1003740,you,recreation,11,5
1003740,you,financial,12,5
1003740,you,recreation,13,5
1003740,you,financial,14,3
1003740,you,health,17,3
1003740,you,financial,18,1
1003740,you,recreation,19,5
1003740,you,health,20,5
1003740,you,social,21,3
1003740,you,social,22,1
1003740,you,health,23,6
1003740,you,recreation,24,5
1003740,you,recreation,25,6
1003740,you,health,26,5
1003740,you,social,27,1
1003740,you,social,28,4
1003740,you,ethical,30,7
1003740,other,social,1,1
1003740,other,recreation,2,1
1003740,other,financial,3,5
1003740,other,health,5,3
1003740,other,ethical,6,7
1003740,other,social,7,3
1003740,other,financial,8,4
1003740,other,ethical,9,2
1003740,other,ethical,10,5
1003740,other,recreation,11,3
1003740,other,financial,12,4
1003740,other,recreation,13,2
1003740,other,financial,14,1
1003740,other,health,17,1
1003740,other,financial,18,1
1003740,other,recreation,19,3
1003740,other,health,20,5
1003740,other,social,21,1
1003740,other,social,22,1
1003740,other,health,23,5
1003740,other,recreation,24,2
1003740,other,recreation,25,3
1003740,other,health,26,4
1003740,other,social,27,1
1003740,other,social,28,3
1003740,other,ethical,30,5
1003741,you,social,1,3
1003741,you,recreation,2,4
1003741,you,financial,3,6
1003741,you,health,5,3
1003741,you,ethical,6,7
1003741,you,social,7,3
1003741,you,financial,8,6
1003741,you,ethical,9,5
1003741,you,ethical,10,6
1003741,you,recreation,11,4
1003741,you,financial,12,3
1003741,you,recreation,13,5
1003741,you,financial,14,7
1003741,you,health,17,5
1003741,you,financial,18,6
1003741,you,recreation,19,4
1003741,you,health,20,7
1003741,you,social,21,2
1003741,you,social,22,2
1003741,you,health,23,7
1003741,you,recreation,24,3
1003741,you,recreation,25,5
1003741,you,health,26,5
1003741,you,social,27,4
1003741,you,social,28,3
1003741,you,ethical,30,7
1003741,other,social,1,1
1003741,other,recreation,2,6
1003741,other,financial,3,5
1003741,other,health,5,1
1003741,other,ethical,6,6
1003741,other,social,7,3
1003741,other,financial,8,4
1003741,other,ethical,9,5
1003741,other,ethical,10,7
1003741,other,recreation,11,1
1003741,other,financial,12,3
1003741,other,recreation,13,4
1003741,other,financial,14,6
1003741,other,health,17,4
1003741,other,financial,18,4
1003741,other,recreation,19,4
1003741,other,health,20,6
1003741,other,social,21,2
1003741,other,social,22,1
1003741,other,health,23,5
1003741,other,recreation,24,3
1003741,other,recreation,25,3
1003741,other,health,26,2
1003741,other,social,27,3
1003741,other,social,28,1
1003741,other,ethical,30,6
1003742,you,social,1,2
1003742,you,recreation,2,4
1003742,you,financial,3,5
1003742,you,health,5,5
1003742,you,ethical,6,7
1003742,you,social,7,2
1003742,you,financial,8,5
1003742,you,ethical,9,6
1003742,you,ethical,10,7
1003742,you,recreation,11,5
1003742,you,financial,12,7
1003742,you,recreation,13,4
1003742,you,financial,14,7
1003742,you,health,17,4
1003742,you,financial,18,7
1003742,you,recreation,19,2
1003742,you,health,20,6
1003742,you,social,21,4
1003742,you,social,22,5
1003742,you,health,23,5
1003742,you,recreation,24,5
1003742,you,recreation,25,5
1003742,you,health,26,4
1003742,you,social,27,2
1003742,you,social,28,4
1003742,you,ethical,30,7
1003742,other,social,1,1
1003742,other,recreation,2,3
1003742,other,financial,3,6
1003742,other,health,5,5
1003742,other,ethical,6,5
1003742,other,social,7,1
1003742,other,financial,8,4
1003742,other,ethical,9,5
1003742,other,ethical,10,6
1003742,other,recreation,11,4
1003742,other,financial,12,4
1003742,other,recreation,13,4
1003742,other,financial,14,5
1003742,other,health,17,3
1003742,other,financial,18,6
1003742,other,recreation,19,2
1003742,other,health,20,5
1003742,other,social,21,2
1003742,other,social,22,6
1003742,other,health,23,3
1003742,other,recreation,24,3
1003742,other,recreation,25,3
1003742,other,health,26,3
1003742,other,social,27,2
1003742,other,social,28,3
1003742,other,ethical,30,6
1003743,you,social,1,2
1003743,you,recreation,2,5
1003743,you,financial,3,3
1003743,you,health,5,7
1003743,you,ethical,6,7
1003743,you,social,7,3
1003743,you,financial,8,7
1003743,you,ethical,9,7
1003743,you,ethical,10,6
1003743,you,recreation,11,4
1003743,you,financial,12,6
1003743,you,recreation,13,5
1003743,you,financial,14,5
1003743,you,health,17,7
1003743,you,financial,18,5
1003743,you,recreation,19,5
1003743,you,health,20,5
1003743,you,social,21,3
1003743,you,social,22,1
1003743,you,health,23,7
1003743,you,recreation,24,4
1003743,you,recreation,25,4
1003743,you,health,26,6
1003743,you,social,27,3
1003743,you,social,28,2
1003743,you,ethical,30,7
1003743,other,social,1,1
1003743,other,recreation,2,4
1003743,other,financial,3,2
1003743,other,health,5,7
1003743,other,ethical,6,5
1003743,other,social,7,2
1003743,other,financial,8,6
1003743,other,ethical,9,4
1003743,other,ethical,10,6
1003743,other,recreation,11,4
1003743,other,financial,12,3
1003743,other,recreation,13,5
1003743,other,financial,14,4
1003743,other,health,17,6
1003743,other,financial,18,5
1003743,other,recreation,19,5
1003743,other,health,20,5
1003743,other,social,21,1
1003743,other,social,22,1
1003743,other,health,23,5
1003743,other,recreation,24,3
1003743,other,recreation,25,5
1003743,other,health,26,7
1003743,other,social,27,2
1003743,other,social,28,1
1003743,other,ethical,30,7
1003744,you,social,1,4
1003744,you,recreation,2,4
1003744,you,financial,3,5
1003744,you,health,5,5
1003744,you,ethical,6,5
1003744,you,social,7,2
1003744,you,financial,8,5
1003744,you,ethical,9,4
1003744,you,ethical,10,7
1003744,you,recreation,11,4
1003744,you,financial,12,5
1003744,you,recreation,13,4
1003744,you,financial,14,6
1003744,you,health,17,5
1003744,you,financial,18,3
1003744,you,recreation,19,5
1003744,you,health,20,6
1003744,you,social,21,1
1003744,you,social,22,3
1003744,you,health,23,5
1003744,you,recreation,24,5
1003744,you,recreation,25,6
1003744,you,health,26,5
1003744,you,social,27,3
1003744,you,social,28,4
1003744,you,ethical,30,6
1003744,other,social,1,5
1003744,other,recreation,2,4
1003744,other,financial,3,5
1003744,other,health,5,4
1003744,other,ethical,6,4
1003744,other,social,7,2
1003744,other,financial,8,4
1003744,other,ethical,9,3
1003744,other,ethical,10,7
1003744,other,recreation,11,2
1003744,other,financial,12,4
1003744,other,recreation,13,3
1003744,other,financial,14,5
1003744,other,health,17,5
1003744,other,financial,18,1
1003744,other,recreation,19,5
1003744,other,health,20,4
1003744,other,social,21,1
1003744,other,social,22,2
1003744,other,health,23,3
1003744,other,recreation,24,4
1003744,other,recreation,25,6
1003744,other,health,26,4
1003744,other,social,27,1
1003744,other,social,28,3
1003744,other,ethical,30,5
1003745,you,social,1,5
1003745,you,recreation,2,2
1003745,you,financial,3,5
1003745,you,health,5,6
1003745,you,ethical,6,5
1003745,you,social,7,3
1003745,you,financial,8,5
1003745,you,ethical,9,7
1003745,you,ethical,10,6
1003745,you,recreation,11,4
1003745,you,financial,12,6
1003745,you,recreation,13,4
1003745,you,financial,14,4
1003745,you,health,17,3
1003745,you,financial,18,4
1003745,you,recreation,19,5
1003745,you,health,20,4
1003745,you,social,21,3
1003745,you,social,22,3
1003745,you,health,23,5
1003745,you,recreation,24,4
1003745,you,recreation,25,4
1003745,you,health,26,7
1003745,you,social,27,5
1003745,you,social,28,2
1003745,you,ethical,30,5
1003745,other,social,1,3
1003745,other,recreation,2,1
1003745,other,financial,3,4
1003745,other,health,5,3
1003745,other,ethical,6,3
1003745,other,social,7,3
1003745,other,financial,8,4
1003745,other,ethical,9,6
1003745,other,ethical,10,4
1003745,other,recreation,11,3
1003745,other,financial,12,6
1003745,other,recreation,13,1
1003745,other,financial,14,2
1003745,other,health,17,2
1003745,other,financial,18,3
1003745,other,recreation,19,5
1003745,other,health,20,4
1003745,other,social,21,3
1003745,other,social,22,3
1003745,other,health,23,3
1003745,other,recreation,24,4
1003745,other,recreation,25,3
1003745,other,health,26,7
1003745,other,social,27,5
1003745,other,social,28,1
1003745,other,ethical,30,3
1003746,you,social,1,3
1003746,you,recreation,2,4
1003746,you,financial,3,5
1003746,you,health,5,7
1003746,you,ethical,6,6
1003746,you,social,7,2
1003746,you,financial,8,5
1003746,you,ethical,9,6
1003746,you,ethical,10,5
1003746,you,recreation,11,6
1003746,you,financial,12,7
1003746,you,recreation,13,4
1003746,you,financial,14,4
1003746,you,health,17,7
1003746,you,financial,18,6
1003746,you,recreation,19,4
1003746,you,health,20,5
1003746,you,social,21,2
1003746,you,social,22,3
1003746,you,health,23,5
1003746,you,recreation,24,6
1003746,you,recreation,25,3
1003746,you,health,26,6
1003746,you,social,27,4
1003746,you,social,28,3
1003746,you,ethical,30,6
1003746,other,social,1,1
1003746,other,recreation,2,2
1003746,other,financial,3,4
1003746,other,health,5,6
1003746,other,ethical,6,6
1003746,other,social,7,1
1003746,other,financial,8,5
1003746,other,ethical,9,5
1003746,other,ethical,10,3
1003746,other,recreation,11,5
1003746,other,financial,12,6
1003746,other,recreation,13,2
1003746,other,financial,14,3
1003746,other,health,17,6
1003746,other,financial,18,3
1003746,other,recreation,19,3
1003746,other,health,20,5
1003746,other,social,21,1
1003746,other,social,22,3
1003746,other,health,23,6
1003746,other,recreation,24,6
1003746,other,recreation,25,3
1003746,other,health,26,4
1003746,other,social,27,4
1003746,other,social,28,2
1003746,other,ethical,30,5
1003747,you,social,1,3
1003747,you,recreation,2,4
1003747,you,financial,3,5
1003747,you,health,5,3
1003747,you,ethical,6,5
1003747,you,social,7,2
1003747,you,financial,8,3
1003747,you,ethical,9,7
1003747,you,ethical,10,7
1003747,you,recreation,11,3
1003747,you,financial,12,4
1003747,you,recreation,13,6
1003747,you,financial,14,4
1003747,you,health,17,7
1003747,you,financial,18,2
1003747,you,recreation,19,5
1003747,you,health,20,6
1003747,you,social,21,3
1003747,you,social,22,3
1003747,you,health,23,4
1003747,you,recreation,24,4
1003747,you,recreation,25,3
1003747,you,health,26,6
1003747,you,social,27,3
1003747,you,social,28,1
1003747,you,ethical,30,5
1003747,other,social,1,1
1003747,other,recreation,2,3
1003747,other,financial,3,3
1003747,other,health,5,2
1003747,other,ethical,6,2
1003747,other,social,7,1
1003747,other,financial,8,2
1003747,other,ethical,9,5
1003747,other,ethical,10,7
1003747,other,recreation,11,2
1003747,other,financial,12,2
1003747,other,recreation,13,3
1003747,other,financial,14,3
1003747,other,health,17,5
1003747,other,financial,18,1
1003747,other,recreation,19,4
1003747,other,health,20,6
1003747,other,social,21,1
1003747,other,social,22,4
1003747,other,health,23,4
1003747,other,recreation,24,2
1003747,other,recreation,25,3
1003747,other,health,26,6
1003747,other,social,27,2
1003747,other,social,28,1
1003747,other,ethical,30,4
1003748,you,social,1,2
1003748,you,recreation,2,3
1003748,you,financial,3,5
1003748,you,health,5,6
1003748,you,ethical,6,7
1003748,you,social,7,3
1003748,you,financial,8,6
1003748,you,ethical,9,7
1003748,you,ethical,10,7
1003748,you,recreation,11,3
1003748,you,financial,12,7
1003748,you,recreation,13,5
1003748,you,financial,14,7
1003748,you,health,17,6
1003748,you,financial,18,5
1003748,you,recreation,19,3
1003748,you,health,20,5
1003748,you,social,21,1
1003748,you,social,22,2
1003748,you,health,23,6
1003748,you,recreation,24,5
1003748,you,recreation,25,4
1003748,you,health,26,7
1003748,you,social,27,3
1003748,you,social,28,1
1003748,you,ethical,30,7
1003748,other,social,1,1
1003748,other,recreation,2,1
1003748,other,financial,3,4
1003748,other,health,5,4
1003748,other,ethical,6,7
1003748,other,social,7,2
1003748,other,financial,8,6
1003748,other,ethical,9,5
1003748,other,ethical,10,7
1003748,other,recreation,11,2
1003748,other,financial,12,3
1003748,other,recreation,13,3
1003748,other,financial,14,4
1003748,other,health,17,6
1003748,other,financial,18,2
1003748,other,recreation,19,2
1003748,other,health,20,3
1003748,other,social,21,1
1003748,other,social,22,1
1003748,other,health,23,3
1003748,other,recreation,24,3
1003748,other,recreation,25,3
1003748,other,health,26,7
1003748,other,social,27,1
1003748,other,social,28,1
1003748,other,ethical,30,6
1003749,you,social,1,3
1003749,you,recreation,2,5
1003749,you,financial,3,6
1003749,you,health,5,5
1003749,you,ethical,6,6
1003749,you,social,7,3
1003749,you,financial,8,6
1003749,you,ethical,9,6
1003749,you,ethical,10,5
1003749,you,recreation,11,3
1003749,you,financial,12,6
1003749,you,recreation,13,3
1003749,you,financial,14,4
1003749,you,health,17,7
1003749,you,financial,18,7
1003749,you,recreation,19,5
1003749,you,health,20,6
1003749,you,social,21,2
1003749,you,social,22,2
1003749,you,health,23,7
1003749,you,recreation,24,5
1003749,you,recreation,25,5
1003749,you,health,26,7
1003749,you,social,27,1
1003749,you,social,28,2
1003749,you,ethical,30,4
1003749,other,social,1,1
1003749,other,recreation,2,4
1003749,other,financial,3,5
1003749,other,health,5,5
1003749,other,ethical,6,5
1003749,other,social,7,2
1003749,other,financial,8,4
1003749,other,ethical,9,6
1003749,other,ethical,10,3
1003749,other,recreation,11,2
1003749,other,financial,12,4
