SRNrated,SRNrater,Cond,score
104157,104035,Urban,9
104157,104065,Urban,8
104157,104167,Urban,5
104157,104086,Urban,4
104157,104092,Urban,2
104122,104129,Urban,6
104122,104127,Urban,6
104122,104081,Urban,6
104122,104178,Urban,6
104122,104066,Urban,5
104122,104118,Urban,4
104122,104166,Urban,7
104122,104095,Urban,3
104122,104197,Urban,1
104122,104001,Urban,7
104084,104091,Urban,10
104084,104114,Urban,4
104084,104143,Urban,5
104084,104072,Urban,2
104084,104098,Urban,4
104084,104030,Urban,4
104084,104090,Urban,6
104084,104198,Urban,7
104084,104024,Urban,6
104084,104058,Urban,6
104190,104142,Urban,1
104190,104122,Urban,4
104190,104160,Urban,3
104190,104036,Urban,3
104190,104139,Urban,5
104190,104060,Urban,3
104190,104120,Urban,7
104190,104131,Urban,7
104190,104031,Urban,4
104190,104171,Urban,3
104064,104186,Urban,4
104064,104008,Urban,3
104064,104124,Urban,4
104064,104146,Urban,4
104064,104027,Urban,7
104064,104045,Urban,6
104064,104148,Urban,2
104064,104042,Urban,2
104064,104068,Urban,5
104064,104200,Urban,5
104160,104104,Urban,6
104160,104051,Urban,7
104160,104133,Urban,6
104160,104033,Urban,7
104160,104002,Urban,1
104160,104026,Urban,7
104160,104177,Urban,4
104160,104191,Urban,3
104160,104100,Urban,9
104160,104077,Urban,7
104081,104038,Urban,7
104081,104062,Urban,2
104081,104034,Urban,2
104081,104080,Urban,5
104081,104017,Urban,5
104081,104106,Urban,5
104081,104105,Urban,5
104081,104145,Urban,8
104081,104125,Urban,6
104081,104156,Urban,5
104034,104137,Urban,6
104034,104115,Urban,5
104034,104069,Urban,4
104034,104147,Urban,6
104034,104041,Urban,4
104034,104037,Urban,6
104034,104126,Urban,6
104034,104085,Urban,5
104034,104116,Urban,3
104034,104067,Urban,7
104139,104159,Urban,3
104139,104135,Urban,9
104139,104075,Urban,3
104139,104111,Urban,5
104139,104140,Urban,5
104139,104199,Urban,4
104139,104047,Urban,2
104139,104050,Urban,5
104139,104046,Urban,4
104139,104015,Urban,2
104068,104162,Urban,2
104068,104043,Urban,10
104068,104196,Urban,8
104068,104076,Urban,3
104068,104136,Urban,5
104068,104194,Urban,5
104068,104020,Urban,6
104068,104009,Urban,5
104068,104189,Urban,4
104068,104173,Urban,4
104175,104179,Urban,5
104175,104130,Urban,3
104175,104084,Urban,7
104175,104079,Urban,7
104175,104149,Urban,2
104175,104182,Urban,7
104175,104096,Urban,1
104175,104168,Urban,7
104175,104070,Urban,4
104175,104112,Urban,5
104090,104169,Urban,3
104090,104093,Urban,5
104090,104109,Urban,4
104090,104012,Urban,4
104090,104187,Urban,8
104090,104018,Urban,7
104090,104102,Urban,8
104090,104023,Urban,3
104090,104175,Urban,8
104090,104056,Urban,7
104026,104022,Urban,3
104026,104089,Urban,5
104026,104153,Urban,6
104026,104055,Urban,5
104026,104193,Urban,4
104026,104151,Urban,5
104026,104165,Urban,1
104026,104181,Urban,6
104026,104144,Urban,6
104026,104028,Urban,7
104066,104011,Urban,1
104066,104150,Urban,5
104066,104141,Urban,6
104066,104183,Urban,4
104066,104101,Urban,5
104066,104113,Urban,5
104066,104087,Urban,9
104066,104157,Urban,3
104066,104094,Urban,3
104066,104128,Urban,6
104062,104174,Urban,2
104062,104078,Urban,1
104062,104006,Urban,7
104062,104117,Urban,8
104062,104019,Urban,5
104062,104007,Urban,4
104062,104103,Urban,2
104062,104053,Urban,2
104062,104119,Urban,8
104062,104064,Urban,5
104127,104071,Urban,2
104127,104164,Urban,9
104127,104039,Urban,6
104127,104108,Urban,4
104127,104138,Urban,5
104127,104176,Urban,5
104127,104172,Urban,6
104127,104190,Urban,5
104127,104188,Urban,7
104127,104083,Urban,8
104063,104029,Urban,4
104063,104099,Urban,4
104063,104013,Urban,8
104063,104154,Urban,2
104063,104170,Urban,8
104063,104004,Urban,6
104063,104192,Urban,8
104063,104032,Urban,6
104063,104161,Urban,6
104063,104123,Urban,6
104012,104107,Urban,2
104012,104184,Urban,4
104012,104003,Urban,3
104012,104048,Urban,4
104012,104152,Urban,4
104012,104074,Urban,6
104012,104005,Urban,4
104012,104195,Urban,5
104012,104185,Urban,2
104012,104180,Urban,4
104076,104049,Urban,9
104076,104021,Urban,2
104076,104110,Urban,3
104076,104016,Urban,7
104076,104063,Urban,6
104076,104014,Urban,4
104076,104044,Urban,7
104076,104163,Urban,6
104076,104010,Urban,5
104076,104134,Urban,4
104174,104061,Urban,8
104174,104025,Urban,9
104174,104057,Urban,4
104174,104052,Urban,4
104174,104155,Urban,6
104174,104082,Urban,4
104174,104158,Urban,5
104174,104132,Urban,4
104174,104040,Urban,6
104174,104054,Urban,5
104104,104059,Urban,4
104104,104097,Urban,3
104104,104121,Urban,7
104104,104088,Urban,4
104104,104073,Urban,6
104104,104035,Urban,5
104104,104065,Urban,5
104104,104167,Urban,4
104104,104086,Urban,2
104104,104092,Urban,4
104009,104129,Urban,6
104009,104127,Urban,10
104009,104081,Urban,5
104009,104178,Urban,7
104009,104066,Urban,6
104009,104118,Urban,5
104009,104166,Urban,5
104009,104095,Urban,6
104009,104197,Urban,5
104009,104001,Urban,6
104197,104091,Urban,1
104197,104114,Urban,4
104197,104143,Urban,6
104197,104072,Urban,6
104197,104098,Urban,6
104197,104030,Urban,1
104197,104090,Urban,4
104197,104198,Urban,3
104197,104024,Urban,7
104197,104058,Urban,5
104061,104142,Urban,6
104061,104122,Urban,4
104061,104160,Urban,6
104061,104036,Urban,3
104061,104139,Urban,6
104061,104060,Urban,8
104061,104120,Urban,2
104061,104131,Urban,7
104061,104031,Urban,3
104061,104171,Urban,4
104073,104186,Urban,2
104073,104008,Urban,6
104073,104124,Urban,5
104073,104146,Urban,3
104073,104027,Urban,5
104073,104045,Urban,8
104073,104148,Urban,8
104073,104042,Urban,6
104073,104068,Urban,5
104073,104200,Urban,8
104048,104104,Urban,6
104048,104051,Urban,3
104048,104133,Urban,7
104048,104033,Urban,3
104048,104002,Urban,2
104048,104026,Urban,6
104048,104177,Urban,7
104048,104191,Urban,8
104048,104100,Urban,3
104048,104077,Urban,3
104123,104038,Urban,8
104123,104062,Urban,4
104123,104034,Urban,6
104123,104080,Urban,2
104123,104017,Urban,4
104123,104106,Urban,8
104123,104105,Urban,5
104123,104145,Urban,8
104123,104125,Urban,7
104123,104156,Urban,3
104103,104137,Urban,3
104103,104115,Urban,6
104103,104069,Urban,8
104103,104147,Urban,5
104103,104041,Urban,5
104103,104037,Urban,2
104103,104126,Urban,5
104103,104085,Urban,3
104103,104116,Urban,3
104103,104067,Urban,5
104044,104159,Urban,5
104044,104135,Urban,2
104044,104075,Urban,3
104044,104111,Urban,4
104044,104140,Urban,1
104044,104199,Urban,2
104044,104047,Urban,5
104044,104050,Urban,4
104044,104046,Urban,7
104044,104015,Urban,4
104075,104162,Urban,10
104075,104043,Urban,3
104075,104196,Urban,3
104075,104076,Urban,6
104075,104136,Urban,5
104075,104194,Urban,2
104075,104020,Urban,8
104075,104009,Urban,4
104075,104189,Urban,5
104075,104173,Urban,1
104156,104179,Urban,3
104156,104130,Urban,6
104156,104084,Urban,5
104156,104079,Urban,7
104156,104149,Urban,4
104156,104182,Urban,3
104156,104096,Urban,3
104156,104168,Urban,3
104156,104070,Urban,6
104156,104112,Urban,1
104108,104169,Urban,6
104108,104093,Urban,6
104108,104109,Urban,6
104108,104012,Urban,6
104108,104187,Urban,6
104108,104018,Urban,3
104108,104102,Urban,7
104108,104023,Urban,8
104108,104175,Urban,4
104108,104056,Urban,3
104049,104022,Urban,4
104049,104089,Urban,7
104049,104153,Urban,4
104049,104055,Urban,6
104049,104193,Urban,7
104049,104151,Urban,9
104049,104165,Urban,6
104049,104181,Urban,6
104049,104144,Urban,6
104049,104028,Urban,4
104094,104011,Urban,1
104094,104150,Urban,4
104094,104141,Urban,6
104094,104183,Urban,5
104094,104101,Urban,6
104094,104113,Urban,10
104094,104087,Urban,5
104094,104157,Urban,5
104094,104094,Urban,6
104094,104128,Urban,6
104022,104174,Urban,6
104022,104078,Urban,4
104022,104006,Urban,2
104022,104117,Urban,6
104022,104019,Urban,9
104022,104007,Urban,5
104022,104103,Urban,6
104022,104053,Urban,5
104022,104119,Urban,6
104022,104064,Urban,5
104187,104071,Urban,8
104187,104164,Urban,7
104187,104039,Urban,4
104187,104108,Urban,8
104187,104138,Urban,5
104187,104176,Urban,6
104187,104172,Urban,6
104187,104190,Urban,6
104187,104188,Urban,5
104187,104083,Urban,6
104172,104029,Urban,6
104172,104099,Urban,7
104172,104013,Urban,5
104172,104154,Urban,4
104172,104170,Urban,10
104172,104004,Urban,2
104172,104192,Urban,6
104172,104032,Urban,4
104172,104161,Urban,5
104172,104123,Urban,5
104101,104107,Urban,4
104101,104184,Urban,8
104101,104003,Urban,3
104101,104048,Urban,6
104101,104152,Urban,1
104101,104074,Urban,5
104101,104005,Urban,6
104101,104195,Urban,1
104101,104185,Urban,6
104101,104180,Urban,5
104002,104049,Urban,8
104002,104021,Urban,4
104002,104110,Urban,2
104002,104016,Urban,1
104002,104063,Urban,7
104002,104014,Urban,7
104002,104044,Urban,5
104002,104163,Urban,6
104002,104010,Urban,6
104002,104134,Urban,5
104098,104061,Urban,3
104098,104025,Urban,8
104098,104057,Urban,8
104098,104052,Urban,9
104098,104155,Urban,3
104098,104082,Urban,4
104098,104158,Urban,4
104098,104132,Urban,4
104098,104040,Urban,6
104098,104054,Urban,5
104185,104059,Urban,2
104185,104097,Urban,2
104185,104121,Urban,6
104185,104088,Urban,1
104185,104073,Urban,7
104185,104035,Urban,4
104185,104065,Urban,3
104185,104167,Urban,6
104185,104086,Urban,6
104185,104092,Urban,6
104120,104129,Urban,4
104120,104127,Urban,5
104120,104081,Urban,5
104120,104178,Urban,10
104120,104066,Urban,3
104120,104118,Urban,5
104120,104166,Urban,4
104120,104095,Urban,9
104120,104197,Urban,5
104120,104001,Urban,2
104184,104091,Urban,4
104184,104114,Urban,5
104184,104143,Urban,8
104184,104072,Urban,5
104184,104098,Urban,7
104184,104030,Urban,3
104184,104090,Urban,6
104184,104198,Urban,9
104184,104024,Urban,5
104184,104058,Urban,7
104005,104142,Urban,1
104005,104122,Urban,5
104005,104160,Urban,3
104005,104036,Urban,6
104005,104139,Urban,7
104005,104060,Urban,6
104005,104120,Urban,5
104005,104131,Urban,3
104005,104031,Urban,4
104005,104171,Urban,4
104092,104186,Urban,6
104092,104008,Urban,8
104092,104124,Urban,7
104092,104146,Urban,2
104092,104027,Urban,5
104092,104045,Urban,3
104092,104148,Urban,4
104092,104042,Urban,6
104092,104068,Urban,2
104092,104200,Urban,3
104016,104104,Urban,6
104016,104051,Urban,6
104016,104133,Urban,1
104016,104033,Urban,7
104016,104002,Urban,6
104016,104026,Urban,4
104016,104177,Urban,5
104016,104191,Urban,4
104016,104100,Urban,6
104016,104077,Urban,10
104119,104038,Urban,5
104119,104062,Urban,5
104119,104034,Urban,5
104119,104080,Urban,6
104119,104017,Urban,6
104119,104106,Urban,1
104119,104105,Urban,2
104119,104145,Urban,3
104119,104125,Urban,3
104119,104156,Urban,2
104124,104137,Urban,8
104124,104115,Urban,3
104124,104069,Urban,5
104124,104147,Urban,7
104124,104041,Urban,8
104124,104037,Urban,4
104124,104126,Urban,6
104124,104085,Urban,6
104124,104116,Urban,4
104124,104067,Urban,5
104181,104159,Urban,9
104181,104135,Urban,6
104181,104075,Urban,8
104181,104111,Urban,5
104181,104140,Urban,5
104181,104199,Urban,4
104181,104047,Urban,4
104181,104050,Urban,6
104181,104046,Urban,3
104181,104015,Urban,3
104200,104162,Urban,5
104200,104043,Urban,4
104200,104196,Urban,3
104200,104076,Urban,6
104200,104136,Urban,7
104200,104194,Urban,3
104200,104020,Urban,6
104200,104009,Urban,7
104200,104189,Urban,8
104200,104173,Urban,4
104194,104179,Urban,7
104194,104130,Urban,3
104194,104084,Urban,6
104194,104079,Urban,3
104194,104149,Urban,6
104194,104182,Urban,6
104194,104096,Urban,5
104194,104168,Urban,6
104194,104070,Urban,5
104194,104112,Urban,4
104091,104169,Urban,7
104091,104093,Urban,3
104091,104109,Urban,6
104091,104012,Urban,4
104091,104187,Urban,7
104091,104018,Urban,1
104091,104102,Urban,5
104091,104023,Urban,7
104091,104175,Urban,5
104091,104056,Urban,7
104097,104022,Urban,1
104097,104089,Urban,4
104097,104153,Urban,8
104097,104055,Urban,4
104097,104193,Urban,6
104097,104151,Urban,1
104097,104165,Urban,4
104097,104181,Urban,2
104097,104144,Urban,10
104097,104028,Urban,4
104140,104011,Urban,4
104140,104150,Urban,7
104140,104141,Urban,7
104140,104183,Urban,8
104140,104101,Urban,7
104140,104113,Urban,4
104140,104087,Urban,3
104140,104157,Urban,5
104140,104094,Urban,7
104140,104128,Urban,3
104167,104174,Urban,3
104167,104078,Urban,7
104167,104006,Urban,3
104167,104117,Urban,4
104167,104019,Urban,4
104167,104007,Urban,5
104167,104103,Urban,4
104167,104053,Urban,10
104167,104119,Urban,3
104167,104064,Urban,6
104025,104071,Urban,3
104025,104164,Urban,9
104025,104039,Urban,4
104025,104108,Urban,7
104025,104138,Urban,8
104025,104176,Urban,2
104025,104172,Urban,5
104025,104190,Urban,5
104025,104188,Urban,9
104025,104083,Urban,2
104007,104029,Urban,4
104007,104099,Urban,6
104007,104013,Urban,6
104007,104154,Urban,5
104007,104170,Urban,5
104007,104004,Urban,4
104007,104192,Urban,2
104007,104032,Urban,2
104007,104161,Urban,8
104007,104123,Urban,5
104010,104107,Urban,3
104010,104184,Urban,4
104010,104003,Urban,7
104010,104048,Urban,5
104010,104152,Urban,8
104010,104074,Urban,3
104010,104005,Urban,5
104010,104195,Urban,5
104010,104185,Urban,8
104010,104180,Urban,5
104186,104049,Urban,6
104186,104021,Urban,3
104186,104110,Urban,3
104186,104016,Urban,7
104186,104063,Urban,9
104186,104014,Urban,6
104186,104044,Urban,4
104186,104163,Urban,5
104186,104010,Urban,3
104186,104134,Urban,3
104148,104061,Urban,4
104148,104025,Urban,4
104148,104057,Urban,5
104148,104052,Urban,4
104148,104155,Urban,6
104148,104082,Urban,10
104148,104158,Urban,6
104148,104132,Urban,3
104148,104040,Urban,6
104148,104054,Urban,3
104121,104059,Urban,7
104121,104097,Urban,2
104121,104121,Urban,7
104121,104088,Urban,4
104121,104073,Urban,7
104121,104035,Urban,3
104121,104065,Urban,6
104121,104167,Urban,6
104121,104086,Urban,3
104121,104092,Urban,3
104153,104129,Urban,7
104153,104127,Urban,3
104153,104081,Urban,5
104153,104178,Urban,2
104153,104066,Urban,4
104153,104118,Urban,8
104153,104166,Urban,5
104153,104095,Urban,3
104153,104197,Urban,3
104153,104001,Urban,2
104041,104091,Urban,6
104041,104114,Urban,5
104041,104143,Urban,5
104041,104072,Urban,5
104041,104098,Urban,5
104041,104030,Urban,6
104041,104090,Urban,4
104041,104198,Urban,6
104041,104024,Urban,6
104041,104058,Urban,5
104137,104142,Urban,6
104137,104122,Urban,6
104137,104160,Urban,6
104137,104036,Urban,4
104137,104139,Urban,7
104137,104060,Urban,4
104137,104120,Urban,8
104137,104131,Urban,3
104137,104031,Urban,6
104137,104171,Urban,4
104021,104186,Urban,7
104021,104008,Urban,5
104021,104124,Urban,5
104021,104146,Urban,6
104021,104027,Urban,5
104021,104045,Urban,5
104021,104148,Urban,2
104021,104042,Urban,7
104021,104068,Urban,6
104021,104200,Urban,9
104105,104104,Urban,7
104105,104051,Urban,5
104105,104133,Urban,10
104105,104033,Urban,6
104105,104002,Urban,4
104105,104026,Urban,2
104105,104177,Urban,7
104105,104191,Urban,6
104105,104100,Urban,8
104105,104077,Urban,4
104183,104038,Urban,9
104183,104062,Urban,5
104183,104034,Urban,5
104183,104080,Urban,3
104183,104017,Urban,1
104183,104106,Urban,4
104183,104105,Urban,5
104183,104145,Urban,5
104183,104125,Urban,4
104183,104156,Urban,6
104050,104137,Urban,5
104050,104115,Urban,7
104050,104069,Urban,3
104050,104147,Urban,4
104050,104041,Urban,7
104050,104037,Urban,5
104050,104126,Urban,5
104050,104085,Urban,5
104050,104116,Urban,3
104050,104067,Urban,7
104171,104159,Urban,4
104171,104135,Urban,6
104171,104075,Urban,4
104171,104111,Urban,2
104171,104140,Urban,4
104171,104199,Urban,6
104171,104047,Urban,3
104171,104050,Urban,7
104171,104046,Urban,8
104171,104015,Urban,6
104162,104162,Urban,6
104162,104043,Urban,6
104162,104196,Urban,5
104162,104076,Urban,6
104162,104136,Urban,3
104162,104194,Urban,4
104162,104020,Urban,7
104162,104009,Urban,7
104162,104189,Urban,6
104162,104173,Urban,9
104074,104179,Urban,5
104074,104130,Urban,8
104074,104084,Urban,5
104074,104079,Urban,4
104074,104149,Urban,7
104074,104182,Urban,4
104074,104096,Urban,7
104074,104168,Urban,6
104074,104070,Urban,9
104074,104112,Urban,4
104071,104169,Urban,3
104071,104093,Urban,4
104071,104109,Urban,4
104071,104012,Urban,9
104071,104187,Urban,3
104071,104018,Urban,7
104071,104102,Urban,4
104071,104023,Urban,3
104071,104175,Urban,7
104071,104056,Urban,4
104146,104022,Urban,6
104146,104089,Urban,7
104146,104153,Urban,6
104146,104055,Urban,4
104146,104193,Urban,3
104146,104151,Urban,5
104146,104165,Urban,6
104146,104181,Urban,4
104146,104144,Urban,4
104146,104028,Urban,8
104058,104011,Urban,4
104058,104150,Urban,5
104058,104141,Urban,7
104058,104183,Urban,6
104058,104101,Urban,9
104058,104113,Urban,6
104058,104087,Urban,4
104058,104157,Urban,4
104058,104094,Urban,7
104058,104128,Urban,5
104056,104174,Urban,3
104056,104078,Urban,6
104056,104006,Urban,6
104056,104117,Urban,3
104056,104019,Urban,6
104056,104007,Urban,2
104056,104103,Urban,3
104056,104053,Urban,4
104056,104119,Urban,1
104056,104064,Urban,1
104151,104071,Urban,2
104151,104164,Urban,3
104151,104039,Urban,5
104151,104108,Urban,5
104151,104138,Urban,5
104151,104176,Urban,6
104151,104172,Urban,5
104151,104190,Urban,3
104151,104188,Urban,4
104151,104083,Urban,3
104018,104029,Urban,5
104018,104099,Urban,4
104018,104013,Urban,5
104018,104154,Urban,2
104018,104170,Urban,6
104018,104004,Urban,3
104018,104192,Urban,3
104018,104032,Urban,8
104018,104161,Urban,7
104018,104123,Urban,3
104079,104107,Urban,6
104079,104184,Urban,2
104079,104003,Urban,5
104079,104048,Urban,5
104079,104152,Urban,3
104079,104074,Urban,6
104079,104005,Urban,7
104079,104195,Urban,6
104079,104185,Urban,1
104079,104180,Urban,7
104168,104049,Urban,7
104168,104021,Urban,2
104168,104110,Urban,4
104168,104016,Urban,6
104168,104063,Urban,4
104168,104014,Urban,2
104168,104044,Urban,5
104168,104163,Urban,4
104168,104010,Urban,4
104168,104134,Urban,5
104149,104061,Green,6
104149,104025,Green,6
104149,104057,Green,7
104149,104052,Green,6
104149,104155,Green,3
104149,104082,Green,5
104149,104158,Green,6
104149,104132,Green,1
104149,104040,Green,1
104149,104054,Green,5
104017,104059,Green,3
104017,104097,Green,6
104017,104121,Green,9
104017,104088,Green,3
104017,104073,Green,6
104017,104035,Green,5
104017,104065,Green,6
104017,104167,Green,6
104017,104086,Green,4
104017,104092,Green,7
104015,104129,Green,4
104015,104127,Green,7
104015,104081,Green,6
104015,104178,Green,9
104015,104066,Green,4
104015,104118,Green,3
104015,104166,Green,5
104015,104095,Green,4
104015,104197,Green,3
104015,104001,Green,7
104158,104091,Green,6
104158,104114,Green,6
104158,104143,Green,3
104158,104072,Green,1
104158,104098,Green,5
104158,104030,Green,5
104158,104090,Green,3
104158,104198,Green,4
104158,104024,Green,5
104158,104058,Green,3
104169,104142,Green,5
104169,104122,Green,4
104169,104160,Green,5
104169,104036,Green,3
104169,104139,Green,5
104169,104060,Green,7
104169,104120,Green,6
104169,104131,Green,8
104169,104031,Green,3
104169,104171,Green,4
104134,104186,Green,4
104134,104008,Green,6
104134,104124,Green,4
104134,104146,Green,3
104134,104027,Green,5
104134,104045,Green,8
104134,104148,Green,4
104134,104042,Green,5
104134,104068,Green,4
104134,104200,Green,5
104112,104104,Green,6
104112,104051,Green,4
104112,104133,Green,5
104112,104033,Green,6
104112,104002,Green,2
104112,104026,Green,4
104112,104177,Green,5
104112,104191,Green,6
104112,104100,Green,7
104112,104077,Green,3
104107,104038,Green,8
104107,104062,Green,2
104107,104034,Green,6
104107,104080,Green,3
104107,104017,Green,7
104107,104106,Green,9
104107,104105,Green,8
104107,104145,Green,3
104107,104125,Green,5
104107,104156,Green,6
104165,104137,Green,7
104165,104115,Green,3
104165,104069,Green,1
104165,104147,Green,6
104165,104041,Green,4
104165,104037,Green,6
104165,104126,Green,1
104165,104085,Green,4
104165,104116,Green,5
104165,104067,Green,1
104109,104159,Green,7
104109,104135,Green,5
104109,104075,Green,5
104109,104111,Green,7
104109,104140,Green,3
104109,104199,Green,4
104109,104047,Green,5
104109,104050,Green,2
104109,104046,Green,4
104109,104015,Green,4
104182,104162,Green,4
104182,104043,Green,2
104182,104196,Green,9
104182,104076,Green,4
104182,104136,Green,2
104182,104194,Green,6
104182,104020,Green,4
104182,104009,Green,7
104182,104189,Green,1
104182,104173,Green,8
104055,104179,Green,9
104055,104130,Green,6
104055,104084,Green,3
104055,104079,Green,6
104055,104149,Green,2
104055,104182,Green,4
104055,104096,Green,4
104055,104168,Green,4
104055,104070,Green,6
104055,104112,Green,3
104147,104169,Green,5
104147,104093,Green,2
104147,104109,Green,6
104147,104012,Green,6
104147,104187,Green,3
104147,104018,Green,7
104147,104102,Green,4
104147,104023,Green,5
104147,104175,Green,5
104147,104056,Green,5
104188,104022,Green,5
104188,104089,Green,8
104188,104153,Green,4
104188,104055,Green,6
104188,104193,Green,4
104188,104151,Green,5
104188,104165,Green,4
104188,104181,Green,1
104188,104144,Green,9
104188,104028,Green,5
104192,104011,Green,5
104192,104150,Green,4
104192,104141,Green,8
104192,104183,Green,5
104192,104101,Green,8
104192,104113,Green,6
104192,104087,Green,5
104192,104157,Green,7
104192,104094,Green,7
104192,104128,Green,4
104180,104174,Green,2
104180,104078,Green,9
104180,104006,Green,3
104180,104117,Green,6
104180,104019,Green,7
104180,104007,Green,1
104180,104103,Green,8
104180,104053,Green,7
104180,104119,Green,4
104180,104064,Green,6
104189,104071,Green,6
104189,104164,Green,6
104189,104039,Green,6
104189,104108,Green,4
104189,104138,Green,1
104189,104176,Green,4
104189,104172,Green,2
104189,104190,Green,6
104189,104188,Green,3
104189,104083,Green,8
104154,104029,Green,7
104154,104099,Green,7
104154,104013,Green,4
104154,104154,Green,7
104154,104170,Green,4
104154,104004,Green,4
104154,104192,Green,3
104154,104032,Green,7
