subj,sex,medit,block,trial,word,pic,congru,acc,rt
2,male,meditate,1,4,apple,apple,cong,1,500
2,male,meditate,1,5,stapler,stapler,cong,1,526
2,male,meditate,1,6,horse,horse,cong,1,543
2,male,meditate,1,7,carrot,spoon,incong,1,354
2,male,meditate,1,8,pizza,pizza,cong,1,497
2,male,meditate,1,9,burger,ball,incong,1,377
2,male,meditate,1,10,scissors,scissors,cong,1,533
2,male,meditate,1,11,ball,scissors,incong,1,439
2,male,meditate,1,12,cat,dog,incong,1,382
2,male,meditate,1,13,plate,cake,incong,1,385
2,male,meditate,1,14,bus,burger,incong,1,395
2,male,meditate,1,15,lemon,anchor,incong,1,375
2,male,meditate,1,16,cake,moon,incong,1,359
2,male,meditate,1,17,hammer,horse,incong,1,396
2,male,meditate,1,18,car,car,cong,1,492
2,male,meditate,1,19,bus,bus,cong,1,551
2,male,meditate,1,20,lemon,lemon,cong,1,473
2,male,meditate,1,21,cherry,cup,incong,1,403
2,male,meditate,1,22,moon,stapler,incong,1,376
2,male,meditate,1,23,car,hammer,incong,1,344
2,male,meditate,1,24,moon,moon,cong,1,560
2,male,meditate,1,25,boat,boat,cong,1,572
2,male,meditate,1,26,stapler,drill,incong,1,371
2,male,meditate,1,27,cup,cup,cong,1,533
2,male,meditate,1,28,ball,ball,cong,1,519
2,male,meditate,1,29,fork,fork,cong,1,617
2,male,meditate,1,30,orange,orange,cong,0,489
2,male,meditate,2,31,pizza,apple,incong,1,446
2,male,meditate,2,32,star,star,cong,1,416
2,male,meditate,2,33,cat,cat,cong,1,551
2,male,meditate,2,34,plate,plate,cong,1,479
2,male,meditate,2,35,tree,tree,cong,1,654
2,male,meditate,2,36,shoe,boat,incong,1,505
2,male,meditate,2,37,star,fork,incong,1,524
2,male,meditate,2,38,anchor,anchor,cong,1,412
2,male,meditate,2,39,cake,cake,cong,1,469
2,male,meditate,2,40,boat,pizza,incong,1,345
2,male,meditate,2,41,apple,lemon,incong,1,441
2,male,meditate,2,42,dog,dog,cong,1,481
2,male,meditate,2,43,orange,plate,incong,1,327
2,male,meditate,2,44,burger,burger,cong,1,456
2,male,meditate,2,45,scissors,bus,incong,1,512
2,male,meditate,2,46,anchor,church,incong,1,492
2,male,meditate,2,47,hammer,hammer,cong,1,399
2,male,meditate,2,48,spoon,spoon,cong,0,487
2,male,meditate,2,49,drill,drill,cong,1,548
2,male,meditate,2,50,cherry,cherry,cong,1,573
2,male,meditate,2,51,hat,car,incong,1,359
2,male,meditate,2,52,church,cat,incong,1,414
2,male,meditate,2,53,dog,shoe,incong,0,295
2,male,meditate,2,54,fork,cherry,incong,1,340
2,male,meditate,2,55,hat,hat,cong,1,429
2,male,meditate,2,56,cup,star,incong,1,497
2,male,meditate,2,57,church,church,cong,1,555
2,male,meditate,2,58,carrot,carrot,cong,1,431
2,male,meditate,2,59,drill,hat,incong,1,270
2,male,meditate,2,60,tree,tree,cong,1,413
3,male,meditate,1,1,cup,cup,cong,1,574
3,male,meditate,1,2,plate,plate,cong,1,480
3,male,meditate,1,3,carrot,hammer,incong,1,571
3,male,meditate,1,4,scissors,scissors,cong,1,588
3,male,meditate,1,5,cherry,tree,incong,1,581
3,male,meditate,1,6,star,apple,incong,1,730
3,male,meditate,1,7,lemon,anchor,incong,1,651
3,male,meditate,1,8,apple,cup,incong,1,621
3,male,meditate,1,9,dog,dog,cong,1,526
3,male,meditate,1,10,orange,ball,incong,1,663
3,male,meditate,1,11,horse,stapler,incong,1,640
3,male,meditate,1,12,moon,moon,cong,1,530
3,male,meditate,1,13,plate,hat,incong,1,573
3,male,meditate,1,14,cat,cake,incong,1,607
3,male,meditate,1,15,lemon,lemon,cong,1,488
3,male,meditate,1,16,drill,drill,cong,1,519
3,male,meditate,1,17,tree,carrot,incong,1,628
3,male,meditate,1,18,fork,boat,incong,1,562
3,male,meditate,1,19,horse,horse,cong,1,565
3,male,meditate,1,20,hammer,drill,incong,1,624
3,male,meditate,1,21,car,car,cong,1,558
3,male,meditate,1,22,ball,cherry,incong,1,709
3,male,meditate,1,23,drill,bus,incong,1,571
3,male,meditate,1,24,boat,boat,cong,1,553
3,male,meditate,1,25,anchor,scissors,incong,1,608
3,male,meditate,1,26,bus,bus,cong,1,506
3,male,meditate,1,27,cup,burger,incong,1,661
3,male,meditate,1,28,moon,plate,incong,1,710
3,male,meditate,1,29,cake,cake,cong,1,583
3,male,meditate,1,30,shoe,horse,incong,1,563
3,male,meditate,2,31,carrot,carrot,cong,1,455
3,male,meditate,2,32,cake,cat,incong,1,540
3,male,meditate,2,33,stapler,lemon,incong,1,625
3,male,meditate,2,34,pizza,pizza,cong,1,571
3,male,meditate,2,35,spoon,star,incong,1,581
3,male,meditate,2,36,anchor,anchor,cong,1,424
3,male,meditate,2,37,hammer,hammer,cong,1,583
3,male,meditate,2,38,tree,tree,cong,1,448
3,male,meditate,2,39,church,church,cong,1,466
3,male,meditate,2,40,cherry,cherry,cong,1,482
3,male,meditate,2,41,dog,pizza,incong,1,542
3,male,meditate,2,42,boat,spoon,incong,1,663
3,male,meditate,2,43,spoon,spoon,cong,1,437
3,male,meditate,2,44,car,church,incong,1,636
3,male,meditate,2,45,shoe,shoe,cong,1,562
3,male,meditate,2,46,cat,cat,cong,1,445
3,male,meditate,2,47,bus,orange,incong,1,605
3,male,meditate,2,48,fork,fork,cong,1,519
3,male,meditate,2,49,hat,hat,cong,0,552
3,male,meditate,2,50,hat,fork,incong,1,642
3,male,meditate,2,51,orange,orange,cong,1,569
3,male,meditate,2,52,pizza,moon,incong,1,714
3,male,meditate,2,53,burger,burger,cong,1,451
3,male,meditate,2,54,stapler,stapler,cong,1,435
3,male,meditate,2,55,ball,ball,cong,1,459
3,male,meditate,2,56,apple,apple,cong,1,431
3,male,meditate,2,57,burger,shoe,incong,1,647
3,male,meditate,2,58,church,dog,incong,1,537
3,male,meditate,2,59,star,star,cong,1,639
3,male,meditate,2,60,scissors,car,incong,1,567
4,male,meditate,1,1,plate,plate,cong,1,482
4,male,meditate,1,2,hat,hat,cong,1,531
4,male,meditate,1,3,cake,cake,cong,1,483
4,male,meditate,1,4,cat,cat,cong,1,482
4,male,meditate,1,5,fork,hammer,incong,1,692
4,male,meditate,1,6,carrot,hat,incong,0,598
4,male,meditate,1,7,cherry,boat,incong,1,704
4,male,meditate,1,8,boat,boat,cong,1,477
4,male,meditate,1,9,lemon,lemon,cong,0,538
4,male,meditate,1,10,car,car,cong,1,733
4,male,meditate,1,11,ball,cat,incong,1,709
4,male,meditate,1,12,moon,moon,cong,1,479
4,male,meditate,1,13,fork,fork,cong,1,501
4,male,meditate,1,14,bus,apple,incong,1,679
4,male,meditate,1,15,moon,orange,incong,1,612
4,male,meditate,1,16,dog,cake,incong,1,615
4,male,meditate,1,17,anchor,anchor,cong,1,497
4,male,meditate,1,18,cake,plate,incong,1,748
4,male,meditate,1,19,plate,church,incong,1,654
4,male,meditate,1,20,carrot,carrot,cong,1,511
4,male,meditate,1,21,dog,dog,cong,1,489
4,male,meditate,1,22,shoe,horse,incong,1,664
4,male,meditate,1,23,burger,burger,cong,1,492
4,male,meditate,1,24,orange,orange,cong,1,543
4,male,meditate,1,25,tree,bus,incong,1,598
4,male,meditate,1,26,spoon,spoon,cong,1,517
4,male,meditate,1,27,apple,scissors,incong,1,662
4,male,meditate,1,28,shoe,shoe,cong,1,483
4,male,meditate,1,29,cup,shoe,incong,1,615
4,male,meditate,1,30,star,star,cong,1,665
4,male,meditate,2,31,horse,anchor,incong,1,609
4,male,meditate,2,32,pizza,pizza,cong,1,443
4,male,meditate,2,33,pizza,carrot,incong,0,697
4,male,meditate,2,34,cherry,cherry,cong,1,473
4,male,meditate,2,35,bus,bus,cong,1,522
4,male,meditate,2,36,ball,ball,cong,1,453
4,male,meditate,2,37,hammer,lemon,incong,1,611
4,male,meditate,2,38,apple,apple,cong,1,453
4,male,meditate,2,39,lemon,drill,incong,1,860
4,male,meditate,2,40,stapler,cherry,incong,1,565
4,male,meditate,2,41,car,car,cong,1,654
4,male,meditate,2,42,anchor,fork,incong,1,616
4,male,meditate,2,43,orange,cup,incong,1,639
4,male,meditate,2,44,church,dog,incong,1,670
4,male,meditate,2,45,cup,cup,cong,1,428
4,male,meditate,2,46,burger,tree,incong,1,673
4,male,meditate,2,47,scissors,scissors,cong,1,474
4,male,meditate,2,48,drill,ball,incong,1,758
4,male,meditate,2,49,drill,drill,cong,1,511
4,male,meditate,2,50,boat,pizza,incong,0,678
4,male,meditate,2,51,scissors,spoon,incong,1,749
4,male,meditate,2,52,spoon,burger,incong,1,615
4,male,meditate,2,53,hat,moon,incong,1,588
4,male,meditate,2,54,church,church,cong,1,527
4,male,meditate,2,55,hammer,hammer,cong,1,424
4,male,meditate,2,56,tree,tree,cong,0,621
4,male,meditate,2,57,cat,stapler,incong,1,666
4,male,meditate,2,58,stapler,stapler,cong,1,586
4,male,meditate,2,59,horse,horse,cong,1,468
4,male,meditate,2,60,star,star,cong,1,445
5,male,meditate,1,1,fork,cup,incong,1,440
5,male,meditate,1,2,pizza,apple,incong,1,557
5,male,meditate,1,3,drill,drill,cong,1,521
5,male,meditate,1,4,car,moon,incong,1,462
5,male,meditate,1,5,spoon,spoon,cong,1,510
5,male,meditate,1,6,cherry,cherry,cong,1,542
5,male,meditate,1,7,dog,fork,incong,1,577
5,male,meditate,1,8,hammer,star,incong,1,480
5,male,meditate,1,9,ball,ball,cong,0,580
5,male,meditate,1,10,pizza,pizza,cong,1,581
5,male,meditate,1,11,cherry,shoe,incong,1,431
5,male,meditate,1,12,bus,church,incong,1,497
5,male,meditate,1,13,ball,cherry,incong,1,515
5,male,meditate,1,14,anchor,anchor,cong,1,565
5,male,meditate,1,15,spoon,tree,incong,1,469
5,male,meditate,1,16,cake,cake,cong,1,549
5,male,meditate,1,17,boat,boat,cong,1,513
5,male,meditate,1,18,apple,apple,cong,1,551
5,male,meditate,1,19,hat,hat,cong,1,514
5,male,meditate,1,20,stapler,spoon,incong,1,428
5,male,meditate,1,21,carrot,dog,incong,1,462
5,male,meditate,1,22,dog,dog,cong,1,592
5,male,meditate,1,23,apple,car,incong,1,482
5,male,meditate,1,24,burger,burger,cong,1,587
5,male,meditate,1,25,horse,horse,cong,0,573
5,male,meditate,1,26,boat,stapler,incong,1,487
5,male,meditate,1,27,orange,hammer,incong,1,448
5,male,meditate,1,28,horse,anchor,incong,1,526
5,male,meditate,1,29,orange,orange,cong,1,596
5,male,meditate,1,30,hat,horse,incong,1,426
5,male,meditate,2,31,plate,plate,cong,1,707
5,male,meditate,2,32,plate,carrot,incong,1,444
5,male,meditate,2,33,tree,tree,cong,1,696
5,male,meditate,2,34,bus,bus,cong,1,577
5,male,meditate,2,35,hammer,hammer,cong,1,479
5,male,meditate,2,36,tree,cat,incong,1,624
5,male,meditate,2,37,star,star,cong,1,472
5,male,meditate,2,38,star,lemon,incong,1,518
5,male,meditate,2,39,anchor,ball,incong,1,553
5,male,meditate,2,40,drill,hat,incong,1,458
5,male,meditate,2,41,car,car,cong,1,524
5,male,meditate,2,42,scissors,burger,incong,1,515
5,male,meditate,2,43,cup,scissors,incong,1,457
5,male,meditate,2,44,cup,cup,cong,1,596
5,male,meditate,2,45,stapler,stapler,cong,1,521
5,male,meditate,2,46,cat,cat,cong,1,720
5,male,meditate,2,47,shoe,shoe,cong,1,515
5,male,meditate,2,48,shoe,cake,incong,1,508
5,male,meditate,2,49,cat,plate,incong,1,504
5,male,meditate,2,50,burger,boat,incong,1,535
5,male,meditate,2,51,carrot,carrot,cong,1,560
5,male,meditate,2,52,moon,moon,cong,1,587
5,male,meditate,2,53,church,church,cong,1,650
5,male,meditate,2,54,church,orange,incong,1,462
5,male,meditate,2,55,cake,drill,incong,1,423
5,male,meditate,2,56,lemon,lemon,cong,1,501
5,male,meditate,2,57,lemon,bus,incong,1,677
5,male,meditate,2,58,scissors,scissors,cong,1,510
5,male,meditate,2,59,moon,pizza,incong,1,490
5,male,meditate,2,60,fork,fork,cong,1,572
6,male,meditate,1,1,burger,bus,incong,1,536
6,male,meditate,1,2,carrot,carrot,cong,1,459
6,male,meditate,1,3,cat,drill,incong,1,631
6,male,meditate,1,4,moon,cake,incong,1,527
6,male,meditate,1,5,stapler,stapler,cong,1,501
6,male,meditate,1,6,horse,horse,cong,1,475
6,male,meditate,1,7,carrot,stapler,incong,1,564
6,male,meditate,1,8,tree,hammer,incong,1,476
6,male,meditate,1,9,car,car,cong,1,481
6,male,meditate,1,10,boat,boat,cong,1,470
6,male,meditate,1,11,cat,cat,cong,1,591
6,male,meditate,1,12,fork,fork,cong,1,568
6,male,meditate,1,13,burger,burger,cong,1,503
6,male,meditate,1,14,pizza,cup,incong,1,601
6,male,meditate,1,15,cup,cup,cong,1,573
6,male,meditate,1,16,plate,plate,cong,1,485
6,male,meditate,1,17,lemon,orange,incong,1,610
6,male,meditate,1,18,apple,apple,cong,1,511
6,male,meditate,1,19,pizza,pizza,cong,1,496
6,male,meditate,1,20,star,star,cong,1,485
6,male,meditate,1,21,scissors,scissors,cong,1,517
6,male,meditate,1,22,bus,bus,cong,1,500
6,male,meditate,1,23,car,cherry,incong,1,481
6,male,meditate,1,24,cherry,plate,incong,1,514
6,male,meditate,1,25,orange,horse,incong,1,541
6,male,meditate,1,26,orange,orange,cong,1,559
6,male,meditate,1,27,anchor,anchor,cong,1,541
6,male,meditate,1,28,ball,ball,cong,1,599
6,male,meditate,1,29,cake,cake,cong,1,590
6,male,meditate,1,30,cherry,cherry,cong,1,572
6,male,meditate,2,31,horse,church,incong,1,604
6,male,meditate,2,32,tree,tree,cong,1,445
6,male,meditate,2,33,bus,burger,incong,1,404
6,male,meditate,2,34,dog,dog,cong,1,450
6,male,meditate,2,35,star,ball,incong,1,429
6,male,meditate,2,36,spoon,tree,incong,1,569
6,male,meditate,2,37,hat,dog,incong,1,462
6,male,meditate,2,38,stapler,boat,incong,1,555
6,male,meditate,2,39,shoe,fork,incong,1,543
6,male,meditate,2,40,hammer,star,incong,1,541
6,male,meditate,2,41,church,pizza,incong,1,466
6,male,meditate,2,42,shoe,shoe,cong,1,493
6,male,meditate,2,43,moon,moon,cong,1,523
6,male,meditate,2,44,lemon,lemon,cong,1,513
6,male,meditate,2,45,spoon,spoon,cong,1,624
6,male,meditate,2,46,boat,car,incong,1,654
6,male,meditate,2,47,drill,drill,cong,1,403
6,male,meditate,2,48,apple,carrot,incong,1,508
6,male,meditate,2,49,cup,lemon,incong,1,497
6,male,meditate,2,50,dog,cat,incong,1,511
6,male,meditate,2,51,hat,hat,cong,1,468
6,male,meditate,2,52,hammer,hammer,cong,1,489
6,male,meditate,2,53,fork,hat,incong,1,499
6,male,meditate,2,54,anchor,anchor,cong,1,570
6,male,meditate,2,55,church,church,cong,1,504
6,male,meditate,2,56,plate,shoe,incong,1,402
6,male,meditate,2,57,cake,scissors,incong,0,408
6,male,meditate,2,58,scissors,apple,incong,1,529
6,male,meditate,2,59,ball,moon,incong,1,650
6,male,meditate,2,60,drill,spoon,incong,1,503
7,male,meditate,1,1,star,star,cong,1,419
7,male,meditate,1,2,horse,apple,incong,1,446
7,male,meditate,1,3,hat,fork,incong,1,512
7,male,meditate,1,4,drill,cat,incong,1,413
7,male,meditate,1,5,car,car,cong,1,429
7,male,meditate,1,6,scissors,carrot,incong,1,506
7,male,meditate,1,7,boat,boat,cong,1,476
7,male,meditate,1,8,orange,orange,cong,1,452
7,male,meditate,1,9,spoon,horse,incong,1,397
7,male,meditate,1,10,tree,boat,incong,1,452
7,male,meditate,1,11,anchor,anchor,cong,1,460
7,male,meditate,1,12,star,stapler,incong,1,376
7,male,meditate,1,13,cat,cat,cong,1,449
7,male,meditate,1,14,pizza,star,incong,1,370
7,male,meditate,1,15,ball,hammer,incong,1,412
7,male,meditate,1,16,plate,plate,cong,1,472
7,male,meditate,1,17,boat,cherry,incong,1,356
7,male,meditate,1,18,car,cup,incong,1,440
7,male,meditate,1,19,stapler,spoon,incong,1,491
7,male,meditate,1,20,hat,hat,cong,1,426
7,male,meditate,1,21,cup,cup,cong,1,481
7,male,meditate,1,22,drill,drill,cong,1,420
7,male,meditate,1,23,hammer,hammer,cong,1,476
7,male,meditate,1,24,apple,apple,cong,1,461
7,male,meditate,1,25,ball,ball,cong,1,434
7,male,meditate,1,26,burger,burger,cong,1,461
7,male,meditate,1,27,dog,dog,cong,1,418
7,male,meditate,1,28,anchor,drill,incong,1,349
7,male,meditate,1,29,bus,bus,cong,1,419
7,male,meditate,1,30,hammer,car,incong,1,362
7,male,meditate,2,31,apple,anchor,incong,1,323
7,male,meditate,2,32,burger,burger,cong,1,281
7,male,meditate,2,33,dog,tree,incong,1,346
7,male,meditate,2,34,shoe,shoe,cong,1,359
7,male,meditate,2,35,tree,tree,cong,1,370
7,male,meditate,2,36,lemon,lemon,cong,1,438
7,male,meditate,2,37,plate,church,incong,1,324
7,male,meditate,2,38,cat,pizza,incong,1,326
7,male,meditate,2,39,lemon,shoe,incong,1,522
7,male,meditate,2,40,cake,ball,incong,1,318
7,male,meditate,2,41,carrot,carrot,cong,1,363
7,male,meditate,2,42,horse,horse,cong,1,421
7,male,meditate,2,43,cup,cake,incong,1,477
7,male,meditate,2,44,spoon,spoon,cong,1,402
7,male,meditate,2,45,moon,moon,cong,1,387
7,male,meditate,2,46,orange,orange,cong,1,368
7,male,meditate,2,47,cake,cake,cong,1,362
7,male,meditate,2,48,cherry,dog,incong,1,365
7,male,meditate,2,49,scissors,scissors,cong,1,370
7,male,meditate,2,50,moon,bus,incong,1,269
7,male,meditate,2,51,fork,plate,incong,1,288
7,male,meditate,2,52,bus,hat,incong,1,254
7,male,meditate,2,53,carrot,moon,incong,1,489
7,male,meditate,2,54,stapler,stapler,cong,1,377
7,male,meditate,2,55,shoe,lemon,incong,1,331
7,male,meditate,2,56,fork,fork,cong,1,352
7,male,meditate,2,57,cherry,cherry,cong,1,370
7,male,meditate,2,58,church,scissors,incong,1,456
7,male,meditate,2,59,pizza,pizza,cong,1,414
7,male,meditate,2,60,church,church,cong,1,413
8,male,meditate,1,1,carrot,carrot,cong,1,446
8,male,meditate,1,2,shoe,ball,incong,1,389
8,male,meditate,1,3,moon,moon,cong,1,486
8,male,meditate,1,4,anchor,boat,incong,1,397
8,male,meditate,1,5,cup,cake,incong,1,353
8,male,meditate,1,6,star,bus,incong,1,353
8,male,meditate,1,7,church,apple,incong,1,457
8,male,meditate,1,8,spoon,spoon,cong,1,531
8,male,meditate,1,9,tree,scissors,incong,1,393
8,male,meditate,1,10,stapler,burger,incong,1,359
8,male,meditate,1,11,cat,cat,cong,1,479
8,male,meditate,1,12,hammer,hammer,cong,1,453
8,male,meditate,1,13,orange,orange,cong,1,581
8,male,meditate,1,14,hat,hat,cong,1,444
8,male,meditate,1,15,orange,church,incong,1,446
8,male,meditate,1,16,star,star,cong,1,456
8,male,meditate,1,17,apple,orange,incong,1,485
8,male,meditate,1,18,burger,burger,cong,1,453
8,male,meditate,1,19,church,church,cong,1,439
8,male,meditate,1,20,boat,boat,cong,1,464
8,male,meditate,1,21,ball,ball,cong,1,438
8,male,meditate,1,22,shoe,shoe,cong,1,441
8,male,meditate,1,23,car,hammer,incong,1,546
8,male,meditate,1,24,cake,cup,incong,1,411
8,male,meditate,1,25,pizza,cherry,incong,1,412
8,male,meditate,1,26,lemon,horse,incong,1,367
8,male,meditate,1,27,horse,horse,cong,1,466
8,male,meditate,1,28,lemon,lemon,cong,1,487
8,male,meditate,1,29,burger,drill,incong,1,481
8,male,meditate,1,30,drill,carrot,incong,1,504
8,male,meditate,2,31,fork,fork,cong,1,463
8,male,meditate,2,32,bus,bus,cong,1,390
8,male,meditate,2,33,tree,tree,cong,1,415
8,male,meditate,2,34,scissors,scissors,cong,1,534
8,male,meditate,2,35,cup,cup,cong,1,433
8,male,meditate,2,36,dog,dog,cong,1,473
8,male,meditate,2,37,moon,tree,incong,1,411
8,male,meditate,2,38,fork,cat,incong,1,313
8,male,meditate,2,39,car,car,cong,1,412
8,male,meditate,2,40,cake,cake,cong,1,414
8,male,meditate,2,41,dog,lemon,incong,1,436
8,male,meditate,2,42,cat,stapler,incong,1,416
8,male,meditate,2,43,plate,plate,cong,1,601
8,male,meditate,2,44,pizza,pizza,cong,1,579
8,male,meditate,2,45,anchor,anchor,cong,1,511
8,male,meditate,2,46,cherry,cherry,cong,1,403
8,male,meditate,2,47,hammer,fork,incong,1,300
8,male,meditate,2,48,carrot,spoon,incong,1,422
8,male,meditate,2,49,drill,drill,cong,1,630
8,male,meditate,2,50,bus,dog,incong,1,378
8,male,meditate,2,51,scissors,moon,incong,1,323
8,male,meditate,2,52,horse,plate,incong,1,390
8,male,meditate,2,53,boat,pizza,incong,1,367
8,male,meditate,2,54,hat,star,incong,1,349
8,male,meditate,2,55,apple,apple,cong,1,419
8,male,meditate,2,56,cherry,hat,incong,1,534
8,male,meditate,2,57,stapler,stapler,cong,1,469
8,male,meditate,2,58,spoon,anchor,incong,1,423
8,male,meditate,2,59,plate,shoe,incong,1,438
8,male,meditate,2,60,ball,car,incong,1,414
9,male,meditate,1,1,scissors,lemon,incong,1,520
9,male,meditate,1,2,hat,dog,incong,1,489
9,male,meditate,1,3,cat,pizza,incong,1,576
9,male,meditate,1,4,hat,hat,cong,1,546
9,male,meditate,1,5,drill,ball,incong,1,613
9,male,meditate,1,6,drill,drill,cong,1,472
9,male,meditate,1,7,burger,burger,cong,1,570
9,male,meditate,1,8,scissors,scissors,cong,1,515
9,male,meditate,1,9,pizza,apple,incong,1,610
9,male,meditate,1,10,shoe,church,incong,1,565
9,male,meditate,1,11,orange,orange,cong,1,496
9,male,meditate,1,12,tree,tree,cong,1,556
9,male,meditate,1,13,burger,stapler,incong,1,615
9,male,meditate,1,14,ball,car,incong,1,689
9,male,meditate,1,15,stapler,tree,incong,1,499
9,male,meditate,1,16,boat,boat,cong,1,530
9,male,meditate,1,17,apple,apple,cong,1,561
9,male,meditate,1,18,spoon,spoon,cong,1,533
9,male,meditate,1,19,cake,cake,cong,1,486
9,male,meditate,1,20,car,plate,incong,1,559
9,male,meditate,1,21,ball,ball,cong,1,500
9,male,meditate,1,22,lemon,lemon,cong,1,606
9,male,meditate,1,23,boat,cherry,incong,1,494
9,male,meditate,1,24,lemon,fork,incong,1,492
9,male,meditate,1,25,horse,horse,cong,1,524
9,male,meditate,1,26,horse,orange,incong,1,504
9,male,meditate,1,27,bus,scissors,incong,1,545
9,male,meditate,1,28,hammer,boat,incong,1,535
9,male,meditate,1,29,shoe,shoe,cong,1,524
9,male,meditate,1,30,cup,cup,cong,1,528
9,male,meditate,2,31,hammer,hammer,cong,1,461
9,male,meditate,2,32,dog,hammer,incong,1,609
9,male,meditate,2,33,cat,cat,cong,1,459
9,male,meditate,2,34,plate,plate,cong,1,473
9,male,meditate,2,35,anchor,anchor,cong,1,621
9,male,meditate,2,36,carrot,carrot,cong,1,623
9,male,meditate,2,37,plate,cake,incong,1,571
9,male,meditate,2,38,star,cat,incong,1,676
9,male,meditate,2,39,cake,moon,incong,1,457
9,male,meditate,2,40,stapler,stapler,cong,1,591
9,male,meditate,2,41,orange,star,incong,1,590
9,male,meditate,2,42,pizza,pizza,cong,1,545
9,male,meditate,2,43,fork,carrot,incong,1,571
9,male,meditate,2,44,anchor,shoe,incong,1,449
9,male,meditate,2,45,moon,hat,incong,1,611
9,male,meditate,2,46,spoon,horse,incong,1,518
9,male,meditate,2,47,cherry,burger,incong,1,624
9,male,meditate,2,48,apple,bus,incong,1,490
9,male,meditate,2,49,moon,moon,cong,1,444
9,male,meditate,2,50,dog,dog,cong,1,545
9,male,meditate,2,51,star,star,cong,1,583
9,male,meditate,2,52,tree,cup,incong,1,663
9,male,meditate,2,53,bus,bus,cong,1,642
9,male,meditate,2,54,cherry,cherry,cong,1,421
9,male,meditate,2,55,church,church,cong,1,532
9,male,meditate,2,56,church,spoon,incong,1,582
9,male,meditate,2,57,carrot,drill,incong,1,701
9,male,meditate,2,58,fork,fork,cong,1,451
9,male,meditate,2,59,car,car,cong,1,442
9,male,meditate,2,60,cup,anchor,incong,1,506
10,male,meditate,1,1,anchor,hammer,incong,1,521
10,male,meditate,1,2,cup,cup,cong,1,532
10,male,meditate,1,3,spoon,apple,incong,1,561
10,male,meditate,1,4,shoe,shoe,cong,1,498
10,male,meditate,1,5,hat,carrot,incong,1,476
10,male,meditate,1,6,church,plate,incong,1,512
10,male,meditate,1,7,dog,dog,cong,1,492
