Solution,Rater,Cond,score
104053,104108,Urban,5
104053,104079,Urban,7
104053,104083,Urban,5
104053,104089,Urban,7
104053,104094,Urban,5
104085,104046,Urban,6
104085,104015,Urban,1
104085,104012,Urban,6
104085,104103,Urban,7
104085,104071,Urban,6
104085,104119,Urban,4
104085,104007,Urban,4
104085,104023,Urban,8
104085,104037,Urban,3
104085,104051,Urban,3
104009,104022,Urban,4
104009,104003,Urban,1
104009,104021,Urban,5
104009,104060,Urban,2
104009,104014,Urban,4
104009,104048,Urban,7
104009,104018,Urban,5
104009,104084,Urban,3
104009,104064,Urban,5
104009,104009,Urban,4
104054,104036,Urban,7
104054,104055,Urban,5
104054,104066,Urban,7
104054,104027,Urban,2
104054,104098,Urban,3
104054,104056,Urban,2
104054,104081,Urban,6
104054,104091,Urban,1
104054,104059,Urban,3
104054,104004,Urban,4
104066,104061,Urban,7
104066,104030,Urban,3
104066,104025,Urban,5
104066,104070,Urban,5
104066,104035,Urban,1
104066,104033,Urban,2
104066,104109,Urban,8
104066,104053,Urban,6
104066,104095,Urban,4
104066,104016,Urban,3
104046,104010,Urban,2
104046,104107,Urban,5
104046,104047,Urban,4
104046,104044,Urban,6
104046,104117,Urban,5
104046,104031,Urban,4
104046,104029,Urban,3
104046,104088,Urban,6
104046,104073,Urban,3
104046,104045,Urban,8
104041,104101,Urban,5
104041,104069,Urban,2
104041,104113,Urban,1
104041,104006,Urban,5
104041,104096,Urban,6
104041,104008,Urban,4
104041,104104,Urban,3
104041,104105,Urban,2
104041,104005,Urban,3
104041,104068,Urban,3
104091,104099,Urban,4
104091,104043,Urban,4
104091,104017,Urban,7
104091,104075,Urban,7
104091,104090,Urban,3
104091,104063,Urban,5
104091,104102,Urban,5
104091,104082,Urban,8
104091,104110,Urban,3
104091,104077,Urban,5
104079,104002,Urban,4
104079,104057,Urban,6
104079,104080,Urban,6
104079,104026,Urban,3
104079,104116,Urban,3
104079,104052,Urban,5
104079,104076,Urban,4
104079,104086,Urban,1
104079,104067,Urban,5
104079,104034,Urban,5
104023,104085,Urban,4
104023,104019,Urban,5
104023,104097,Urban,5
104023,104115,Urban,4
104023,104092,Urban,6
104023,104118,Urban,5
104023,104032,Urban,7
104023,104042,Urban,4
104023,104039,Urban,4
104023,104050,Urban,1
104107,104074,Urban,7
104107,104020,Urban,4
104107,104112,Urban,6
104107,104072,Urban,8
104107,104087,Urban,8
104107,104093,Urban,6
104107,104024,Urban,6
104107,104120,Urban,2
104107,104038,Urban,6
104107,104041,Urban,8
104028,104065,Urban,5
104028,104049,Urban,4
104028,104100,Urban,8
104028,104114,Urban,6
104028,104028,Urban,7
104028,104001,Urban,10
104028,104013,Urban,4
104028,104058,Urban,4
104028,104106,Urban,7
104028,104011,Urban,6
104075,104078,Urban,7
104075,104062,Urban,8
104075,104040,Urban,5
104075,104054,Urban,3
104075,104111,Urban,7
104075,104108,Urban,5
104075,104079,Urban,7
104075,104083,Urban,3
104075,104089,Urban,4
104075,104094,Urban,7
104088,104046,Urban,5
104088,104015,Urban,3
104088,104012,Urban,6
104088,104103,Urban,5
104088,104071,Urban,7
104088,104119,Urban,7
104088,104007,Urban,6
104088,104023,Urban,6
104088,104037,Urban,7
104088,104051,Urban,7
104064,104022,Urban,4
104064,104003,Urban,5
104064,104021,Urban,10
104064,104060,Urban,5
104064,104014,Urban,9
104064,104048,Urban,7
104064,104018,Urban,5
104064,104084,Urban,6
104064,104064,Urban,6
104064,104009,Urban,5
104018,104036,Urban,4
104018,104055,Urban,5
104018,104066,Urban,4
104018,104027,Urban,6
104018,104098,Urban,6
104018,104056,Urban,9
104018,104081,Urban,4
104018,104091,Urban,7
104018,104059,Urban,9
104018,104004,Urban,7
104001,104061,Urban,4
104001,104030,Urban,4
104001,104025,Urban,7
104001,104070,Urban,5
104001,104035,Urban,4
104001,104033,Urban,2
104001,104109,Urban,2
104001,104053,Urban,7
104001,104095,Urban,4
104001,104016,Urban,8
104045,104010,Urban,4
104045,104107,Urban,6
104045,104047,Urban,4
104045,104044,Urban,6
104045,104117,Urban,4
104045,104031,Urban,6
104045,104029,Urban,3
104045,104088,Urban,9
104045,104073,Urban,6
104045,104045,Urban,9
104048,104101,Urban,6
104048,104069,Urban,5
104048,104113,Urban,5
104048,104006,Urban,7
104048,104096,Urban,10
104048,104008,Urban,3
104048,104104,Urban,1
104048,104105,Urban,2
104048,104005,Urban,6
104048,104068,Urban,6
104068,104099,Urban,4
104068,104043,Urban,1
104068,104017,Urban,6
104068,104075,Urban,1
104068,104090,Urban,4
104068,104063,Urban,5
104068,104102,Urban,7
104068,104082,Urban,9
104068,104110,Urban,6
104068,104077,Urban,7
104116,104002,Urban,5
104116,104057,Urban,7
104116,104080,Urban,6
104116,104026,Urban,5
104116,104116,Urban,8
104116,104052,Urban,6
104116,104076,Urban,6
104116,104086,Urban,4
104116,104067,Urban,1
104116,104034,Urban,5
104104,104085,Urban,7
104104,104019,Urban,1
104104,104097,Urban,6
104104,104115,Urban,1
104104,104092,Urban,4
104104,104118,Urban,5
104104,104032,Urban,4
104104,104042,Urban,2
104104,104039,Urban,4
104104,104050,Urban,5
104072,104074,Urban,9
104072,104020,Urban,5
104072,104112,Urban,7
104072,104072,Urban,4
104072,104087,Urban,1
104072,104093,Urban,8
104072,104024,Urban,7
104072,104120,Urban,5
104072,104038,Urban,6
104072,104041,Urban,1
104015,104065,Urban,3
104015,104049,Urban,10
104015,104100,Urban,5
104015,104114,Urban,9
104015,104028,Urban,3
104015,104001,Urban,7
104015,104013,Urban,6
104015,104058,Urban,5
104015,104106,Urban,2
104015,104011,Urban,6
104033,104078,Urban,4
104033,104062,Urban,3
104033,104040,Urban,4
104033,104054,Urban,8
104033,104111,Urban,7
104033,104108,Urban,6
104033,104079,Urban,6
104033,104083,Urban,5
104033,104089,Urban,6
104033,104094,Urban,8
104012,104046,Urban,3
104012,104015,Urban,4
104012,104012,Urban,6
104012,104103,Urban,9
104012,104071,Urban,3
104012,104119,Urban,8
104012,104007,Urban,1
104012,104023,Urban,7
104012,104037,Urban,2
104012,104051,Urban,3
104020,104022,Urban,3
104020,104003,Urban,5
104020,104021,Urban,3
104020,104060,Urban,3
104020,104014,Urban,5
104020,104048,Urban,4
104020,104018,Urban,7
104020,104084,Urban,4
104020,104064,Urban,8
104020,104009,Urban,6
104003,104036,Urban,6
104003,104055,Urban,6
104003,104066,Urban,3
104003,104027,Urban,7
104003,104098,Urban,7
104003,104056,Urban,8
104003,104081,Urban,5
104003,104091,Urban,3
104003,104059,Urban,7
104003,104004,Urban,6
104102,104061,Urban,4
104102,104030,Urban,4
104102,104025,Urban,4
104102,104070,Urban,4
104102,104035,Urban,6
104102,104033,Urban,7
104102,104109,Urban,4
104102,104053,Urban,2
104102,104095,Urban,3
104102,104016,Urban,6
104101,104010,Urban,4
104101,104107,Urban,5
104101,104047,Urban,5
104101,104044,Urban,3
104101,104117,Urban,4
104101,104031,Urban,3
104101,104029,Urban,5
104101,104088,Urban,6
104101,104073,Urban,7
104101,104045,Urban,7
104063,104101,Urban,5
104063,104069,Urban,5
104063,104113,Urban,3
104063,104006,Urban,3
104063,104096,Urban,5
104063,104008,Urban,3
104063,104104,Urban,4
104063,104105,Urban,6
104063,104005,Urban,5
104063,104068,Urban,2
104105,104099,Urban,4
104105,104043,Urban,9
104105,104017,Urban,6
104105,104075,Urban,7
104105,104090,Urban,9
104105,104063,Urban,5
104105,104102,Urban,6
104105,104082,Urban,4
104105,104110,Urban,8
104105,104077,Urban,3
104098,104002,Urban,10
104098,104057,Urban,8
104098,104080,Urban,7
104098,104026,Urban,8
104098,104116,Urban,10
104098,104052,Urban,7
104098,104076,Urban,7
104098,104086,Urban,6
104098,104067,Urban,1
104098,104034,Urban,2
104086,104085,Urban,4
104086,104019,Urban,4
104086,104097,Urban,2
104086,104115,Urban,4
104086,104092,Urban,6
104086,104118,Urban,6
104086,104032,Urban,3
104086,104042,Urban,4
104086,104039,Urban,7
104086,104050,Urban,6
104061,104074,Urban,5
104061,104020,Urban,6
104061,104112,Urban,3
104061,104072,Urban,5
104061,104087,Urban,7
104061,104093,Urban,5
104061,104024,Urban,4
104061,104120,Urban,3
104061,104038,Urban,5
104061,104041,Urban,7
104060,104065,Urban,6
104060,104049,Urban,8
104060,104100,Urban,7
104060,104114,Urban,6
104060,104028,Urban,6
104060,104001,Urban,7
104060,104013,Urban,6
104060,104058,Urban,6
104060,104106,Urban,4
104060,104011,Urban,6
104096,104078,Urban,7
104096,104062,Urban,2
104096,104040,Urban,6
104096,104054,Urban,4
104096,104111,Urban,8
104096,104108,Urban,7
104096,104079,Urban,6
104096,104083,Urban,8
104096,104089,Urban,1
104096,104094,Urban,6
104037,104046,Urban,7
104037,104015,Urban,6
104037,104012,Urban,3
104037,104103,Urban,4
104037,104071,Urban,7
104037,104119,Urban,5
104037,104007,Urban,5
104037,104023,Urban,4
104037,104037,Urban,5
104037,104051,Urban,9
104100,104022,Urban,8
104100,104003,Urban,5
104100,104021,Urban,5
104100,104060,Urban,6
104100,104014,Urban,4
104100,104048,Urban,6
104100,104018,Urban,4
104100,104084,Urban,6
104100,104064,Urban,8
104100,104009,Urban,6
104078,104036,Urban,5
104078,104055,Urban,6
104078,104066,Urban,6
104078,104027,Urban,4
104078,104098,Urban,6
104078,104056,Urban,4
104078,104081,Urban,3
104078,104091,Urban,7
104078,104059,Urban,6
104078,104004,Urban,4
104092,104061,Urban,3
104092,104030,Urban,5
104092,104025,Urban,9
104092,104070,Urban,3
104092,104035,Urban,8
104092,104033,Urban,7
104092,104109,Urban,4
104092,104053,Urban,5
104092,104095,Urban,5
104092,104016,Urban,7
104014,104010,Urban,6
104014,104107,Urban,4
104014,104047,Urban,3
104014,104044,Urban,6
104014,104117,Urban,7
104014,104031,Urban,5
104014,104029,Urban,5
104014,104088,Urban,10
104014,104073,Urban,6
104014,104045,Urban,7
104095,104101,Urban,3
104095,104069,Urban,7
104095,104113,Urban,7
104095,104006,Urban,1
104095,104096,Urban,8
104095,104008,Urban,6
104095,104104,Urban,1
104095,104105,Urban,5
104095,104005,Urban,6
104095,104068,Urban,7
104089,104099,Urban,1
104089,104043,Urban,3
104089,104017,Urban,5
104089,104075,Urban,7
104089,104090,Urban,1
104089,104063,Urban,3
104089,104102,Urban,6
104089,104082,Urban,5
104089,104110,Urban,6
104089,104077,Urban,4
104013,104002,Urban,4
104013,104057,Urban,5
104013,104080,Urban,10
104013,104026,Urban,6
104013,104116,Urban,4
104013,104052,Urban,8
104013,104076,Urban,4
104013,104086,Urban,2
104013,104067,Urban,7
104013,104034,Urban,2
104038,104085,Urban,6
104038,104019,Urban,8
104038,104097,Urban,6
104038,104115,Urban,3
104038,104092,Urban,4
104038,104118,Urban,4
104038,104032,Urban,6
104038,104042,Urban,2
104038,104039,Urban,4
104038,104050,Urban,4
104002,104074,Urban,6
104002,104020,Urban,8
104002,104112,Urban,6
104002,104072,Urban,5
104002,104087,Urban,3
104002,104093,Urban,5
104002,104024,Urban,7
104002,104120,Urban,2
104002,104038,Urban,6
104002,104041,Urban,4
104071,104065,Urban,4
104071,104049,Urban,3
104071,104100,Urban,4
104071,104114,Urban,3
104071,104028,Urban,4
104071,104001,Urban,4
104071,104013,Urban,5
104071,104058,Urban,5
104071,104106,Urban,1
104071,104011,Urban,7
104074,104078,Urban,6
104074,104062,Urban,5
104074,104040,Urban,7
104074,104054,Urban,6
104074,104111,Urban,3
104074,104108,Urban,4
104074,104079,Urban,8
104074,104083,Urban,3
104074,104089,Urban,6
104074,104094,Urban,1
104076,104046,Nature,7
104076,104015,Nature,4
104076,104012,Nature,4
104076,104103,Nature,4
104076,104071,Nature,4
104076,104119,Nature,5
104076,104007,Nature,6
104076,104023,Nature,4
104076,104037,Nature,4
104076,104051,Nature,3
104065,104022,Nature,3
104065,104003,Nature,5
104065,104021,Nature,6
104065,104060,Nature,5
104065,104014,Nature,8
104065,104048,Nature,9
104065,104018,Nature,8
104065,104084,Nature,5
104065,104064,Nature,5
104065,104009,Nature,5
104032,104036,Nature,4
104032,104055,Nature,8
104032,104066,Nature,4
104032,104027,Nature,8
104032,104098,Nature,3
104032,104056,Nature,4
104032,104081,Nature,8
104032,104091,Nature,8
104032,104059,Nature,7
104032,104004,Nature,5
104108,104061,Nature,5
104108,104030,Nature,9
104108,104025,Nature,6
104108,104070,Nature,3
104108,104035,Nature,5
104108,104033,Nature,4
104108,104109,Nature,4
104108,104053,Nature,5
104108,104095,Nature,7
104108,104016,Nature,5
104058,104010,Nature,5
104058,104107,Nature,4
104058,104047,Nature,4
104058,104044,Nature,7
104058,104117,Nature,6
104058,104031,Nature,6
104058,104029,Nature,5
104058,104088,Nature,8
104058,104073,Nature,7
104058,104045,Nature,9
104094,104101,Nature,4
104094,104069,Nature,5
104094,104113,Nature,6
104094,104006,Nature,6
104094,104096,Nature,5
104094,104008,Nature,3
104094,104104,Nature,5
104094,104105,Nature,3
104094,104005,Nature,7
104094,104068,Nature,1
104044,104099,Nature,6
104044,104043,Nature,4
104044,104017,Nature,3
104044,104075,Nature,2
104044,104090,Nature,7
104044,104063,Nature,7
104044,104102,Nature,9
104044,104082,Nature,6
104044,104110,Nature,1
104044,104077,Nature,7
104056,104002,Nature,4
104056,104057,Nature,5
104056,104080,Nature,4
104056,104026,Nature,5
104056,104116,Nature,1
104056,104052,Nature,7
104056,104076,Nature,5
104056,104086,Nature,5
104056,104067,Nature,4
104056,104034,Nature,6
104036,104085,Nature,3
104036,104019,Nature,4
104036,104097,Nature,6
104036,104115,Nature,5
104036,104092,Nature,2
104036,104118,Nature,5
104036,104032,Nature,2
104036,104042,Nature,4
104036,104039,Nature,6
104036,104050,Nature,6
104117,104074,Nature,5
104117,104020,Nature,1
104117,104112,Nature,4
104117,104072,Nature,3
104117,104087,Nature,4
104117,104093,Nature,5
104117,104024,Nature,6
104117,104120,Nature,6
104117,104038,Nature,5
104117,104041,Nature,2
104004,104065,Nature,4
104004,104049,Nature,7
104004,104100,Nature,5
104004,104114,Nature,4
104004,104028,Nature,3
104004,104001,Nature,6
104004,104013,Nature,6
104004,104058,Nature,9
104004,104106,Nature,7
104004,104011,Nature,5
104093,104078,Nature,1
104093,104062,Nature,7
104093,104040,Nature,7
104093,104054,Nature,6
104093,104111,Nature,9
104093,104108,Nature,5
104093,104079,Nature,3
104093,104083,Nature,3
104093,104089,Nature,5
104093,104094,Nature,8
104106,104046,Nature,3
104106,104015,Nature,6
104106,104012,Nature,5
104106,104103,Nature,4
104106,104071,Nature,5
104106,104119,Nature,5
104106,104007,Nature,2
104106,104023,Nature,5
104106,104037,Nature,8
104106,104051,Nature,3
104099,104022,Nature,5
104099,104003,Nature,7
104099,104021,Nature,2
104099,104060,Nature,6
104099,104014,Nature,2
104099,104048,Nature,5
104099,104018,Nature,10
104099,104084,Nature,5
104099,104064,Nature,4
104099,104009,Nature,5
104008,104036,Nature,4
104008,104055,Nature,4
104008,104066,Nature,9
104008,104027,Nature,5
104008,104098,Nature,3
104008,104056,Nature,3
104008,104081,Nature,6
104008,104091,Nature,5
104008,104059,Nature,4
104008,104004,Nature,8
104073,104061,Nature,5
104073,104030,Nature,7
104073,104025,Nature,6
104073,104070,Nature,8
104073,104035,Nature,8
104073,104033,Nature,9
104073,104109,Nature,3
104073,104053,Nature,3
104073,104095,Nature,6
104073,104016,Nature,3
104059,104010,Nature,4
104059,104107,Nature,5
104059,104047,Nature,2
104059,104044,Nature,3
104059,104117,Nature,3
104059,104031,Nature,8
104059,104029,Nature,6
104059,104088,Nature,6
104059,104073,Nature,5
104059,104045,Nature,7
104055,104101,Nature,9
104055,104069,Nature,2
104055,104113,Nature,10
104055,104006,Nature,3
104055,104096,Nature,6
104055,104008,Nature,4
104055,104104,Nature,4
104055,104105,Nature,5
104055,104005,Nature,6
104055,104068,Nature,5
104035,104099,Nature,6
104035,104043,Nature,6
104035,104017,Nature,5
104035,104075,Nature,4
104035,104090,Nature,5
104035,104063,Nature,5
104035,104102,Nature,3
104035,104082,Nature,6
104035,104110,Nature,6
104035,104077,Nature,4
104083,104002,Nature,3
104083,104057,Nature,4
104083,104080,Nature,1
104083,104026,Nature,4
104083,104116,Nature,7
104083,104052,Nature,5
104083,104076,Nature,5
104083,104086,Nature,5
104083,104067,Nature,5
104083,104034,Nature,4
104119,104085,Nature,7
104119,104019,Nature,6
104119,104097,Nature,4
104119,104115,Nature,4
104119,104092,Nature,3
104119,104118,Nature,10
104119,104032,Nature,5
104119,104042,Nature,3
104119,104039,Nature,1
104119,104050,Nature,2
104113,104074,Nature,6
104113,104020,Nature,5
104113,104112,Nature,4
104113,104072,Nature,4
104113,104087,Nature,4
104113,104093,Nature,8
104113,104024,Nature,8
104113,104120,Nature,2
104113,104038,Nature,5
104113,104041,Nature,3
104077,104065,Nature,7
104077,104049,Nature,8
104077,104100,Nature,5
104077,104114,Nature,6
104077,104028,Nature,4
104077,104001,Nature,5
104077,104013,Nature,7
104077,104058,Nature,6
104077,104106,Nature,8
104077,104011,Nature,6
104067,104078,Nature,7
104067,104062,Nature,5
104067,104040,Nature,4
104067,104054,Nature,6
104067,104111,Nature,6
104067,104108,Nature,5
104067,104079,Nature,5
104067,104083,Nature,2
104067,104089,Nature,7
104067,104094,Nature,9
104052,104046,Nature,6
104052,104015,Nature,5
104052,104012,Nature,8
104052,104103,Nature,6
104052,104071,Nature,6
104052,104119,Nature,4
104052,104007,Nature,5
104052,104023,Nature,6
104052,104037,Nature,6
104052,104051,Nature,5
104021,104022,Nature,3
104021,104003,Nature,5
104021,104021,Nature,5
104021,104060,Nature,3
104021,104014,Nature,5
104021,104048,Nature,6
104021,104018,Nature,4
104021,104084,Nature,4
104021,104064,Nature,3
104021,104009,Nature,4
104042,104036,Nature,8
104042,104055,Nature,7
104042,104066,Nature,1
104042,104027,Nature,6
104042,104098,Nature,3
104042,104056,Nature,7
104042,104081,Nature,7
104042,104091,Nature,6
104042,104059,Nature,4
104042,104004,Nature,7
104007,104061,Nature,5
104007,104030,Nature,4
104007,104025,Nature,7
104007,104070,Nature,9
104007,104035,Nature,7
104007,104033,Nature,6
104007,104109,Nature,4
104007,104053,Nature,7
104007,104095,Nature,5
104007,104016,Nature,4
104040,104010,Nature,5
104040,104107,Nature,4
104040,104047,Nature,3
104040,104044,Nature,5
104040,104117,Nature,3
104040,104031,Nature,8
104040,104029,Nature,3
104040,104088,Nature,5
104040,104073,Nature,5
104040,104045,Nature,7
104011,104101,Nature,5
104011,104069,Nature,7
104011,104113,Nature,3
104011,104006,Nature,3
104011,104096,Nature,6
104011,104008,Nature,8
104011,104104,Nature,5
104011,104105,Nature,8
104011,104005,Nature,5
104011,104068,Nature,6
104118,104099,Nature,6
104118,104043,Nature,7
104118,104017,Nature,3
104118,104075,Nature,5
104118,104090,Nature,4
104118,104063,Nature,5
104118,104102,Nature,2
104118,104082,Nature,3
104118,104110,Nature,9
104118,104077,Nature,3
104031,104002,Nature,4
104031,104057,Nature,5
104031,104080,Nature,2
104031,104026,Nature,8
104031,104116,Nature,7
104031,104052,Nature,2
104031,104076,Nature,6
104031,104086,Nature,6
104031,104067,Nature,5
104031,104034,Nature,10
104103,104085,Nature,8
104103,104019,Nature,8
104103,104097,Nature,5
104103,104115,Nature,5
104103,104092,Nature,5
104103,104118,Nature,4
104103,104032,Nature,3
104103,104042,Nature,7
104103,104039,Nature,7
104103,104050,Nature,3
104051,104074,Nature,6
104051,104020,Nature,10
104051,104112,Nature,4
104051,104072,Nature,4
104051,104087,Nature,6
104051,104093,Nature,6
104051,104024,Nature,5
104051,104120,Nature,8
104051,104038,Nature,3
104051,104041,Nature,5
104047,104065,Nature,4
104047,104049,Nature,5
104047,104100,Nature,6
104047,104114,Nature,3
104047,104028,Nature,4
104047,104001,Nature,4
104047,104013,Nature,9
104047,104058,Nature,5
104047,104106,Nature,6
104047,104011,Nature,4
104027,104078,Nature,6
104027,104062,Nature,4
104027,104040,Nature,3
104027,104054,Nature,5
104027,104111,Nature,4
104027,104108,Nature,3
104027,104079,Nature,4
104027,104083,Nature,2
104027,104089,Nature,5
104027,104094,Nature,6
104025,104046,Nature,6
104025,104015,Nature,4
104025,104012,Nature,8
104025,104103,Nature,7
104025,104071,Nature,4
104025,104119,Nature,6
104025,104007,Nature,2
104025,104023,Nature,6
104025,104037,Nature,7
104025,104051,Nature,6
104026,104022,Nature,6
104026,104003,Nature,2
104026,104021,Nature,3
104026,104060,Nature,6
104026,104014,Nature,6
104026,104048,Nature,4
104026,104018,Nature,2
104026,104084,Nature,6
104026,104064,Nature,3
104026,104009,Nature,6
104069,104036,Nature,6
104069,104055,Nature,3
104069,104066,Nature,5
104069,104027,Nature,4
104069,104098,Nature,5
104069,104056,Nature,4
104069,104081,Nature,3
104069,104091,Nature,8
104069,104059,Nature,2
104069,104004,Nature,4
104112,104061,Nature,4
104112,104030,Nature,5
104112,104025,Nature,5
104112,104070,Nature,6
104112,104035,Nature,4
104112,104033,Nature,4
104112,104109,Nature,6
104112,104053,Nature,6
104112,104095,Nature,6
104112,104016,Nature,6
104080,104010,Nature,1
104080,104107,Nature,4
104080,104047,Nature,4
104080,104044,Nature,4
104080,104117,Nature,6
104080,104031,Nature,4
104080,104029,Nature,6
104080,104088,Nature,2
104080,104073,Nature,6
104080,104045,Nature,9
104082,104101,Nature,4
104082,104069,Nature,5
104082,104113,Nature,7
104082,104006,Nature,5
104082,104096,Nature,6
104082,104008,Nature,8
104082,104104,Nature,2
104082,104105,Nature,5
104082,104005,Nature,7
104082,104068,Nature,7
104006,104099,Nature,8
104006,104043,Nature,5
104006,104017,Nature,9
104006,104075,Nature,6
104006,104090,Nature,2
104006,104063,Nature,2
104006,104102,Nature,5
104006,104082,Nature,5
104006,104110,Nature,10
104006,104077,Nature,5
104049,104002,Nature,7
104049,104057,Nature,3
104049,104080,Nature,4
104049,104026,Nature,6
104049,104116,Nature,3
104049,104052,Nature,3
104049,104076,Nature,6
104049,104086,Nature,3
104049,104067,Nature,6
104049,104034,Nature,6
104022,104085,Nature,8
104022,104019,Nature,4
104022,104097,Nature,6
104022,104115,Nature,7
104022,104092,Nature,3
104022,104118,Nature,6
104022,104032,Nature,2
104022,104042,Nature,6
104022,104039,Nature,7
104022,104050,Nature,5
104039,104074,Nature,2
104039,104020,Nature,8
104039,104112,Nature,4
104039,104072,Nature,7
104039,104087,Nature,6
104039,104093,Nature,8
104039,104024,Nature,5
104039,104120,Nature,7
104039,104038,Nature,6
104039,104041,Nature,7
104110,104065,Nature,5
104110,104049,Nature,6
104110,104100,Nature,4
104110,104114,Nature,8
104110,104028,Nature,8
104110,104001,Nature,2
104110,104013,Nature,2
104110,104058,Nature,5
104110,104106,Nature,10
104110,104011,Nature,5
104097,104078,Nature,7
104097,104062,Nature,5
104097,104040,Nature,3
104097,104054,Nature,5
104097,104111,Nature,2
104097,104108,Nature,5
104097,104079,Nature,4
104097,104083,Nature,6
104097,104089,Nature,9
104097,104094,Nature,3
104109,104046,Nature,10
104109,104015,Nature,2
104109,104012,Nature,7
104109,104103,Nature,6
104109,104071,Nature,4
104109,104119,Nature,4
104109,104007,Nature,6
104109,104023,Nature,5
104109,104037,Nature,5
104109,104051,Nature,7
104043,104022,Nature,4
104043,104003,Nature,9
104043,104021,Nature,3
104043,104060,Nature,4
104043,104014,Nature,1
104043,104048,Nature,1
104043,104018,Nature,7
104043,104084,Nature,10
104043,104064,Nature,5
104043,104009,Nature,6
104070,104036,Nature,6
104070,104055,Nature,7
104070,104066,Nature,3
104070,104027,Nature,5
104070,104098,Nature,6
104070,104056,Nature,4
104070,104081,Nature,7
104070,104091,Nature,6
104070,104059,Nature,4
104070,104004,Nature,7
104030,104061,Nature,7
104030,104030,Nature,3
104030,104025,Nature,4
104030,104070,Nature,7
104030,104035,Nature,6
104030,104033,Nature,6
104030,104109,Nature,5
104030,104053,Nature,3
104030,104095,Nature,7
104030,104016,Nature,5
104050,104010,Nature,6
104050,104107,Nature,3
104050,104047,Nature,4
104050,104044,Nature,5
104050,104117,Nature,5
104050,104031,Nature,5
104050,104029,Nature,7
104050,104088,Nature,7
104050,104073,Nature,1
104050,104045,Nature,8
104120,104101,Nature,4
104120,104069,Nature,5
104120,104113,Nature,3
104120,104006,Nature,2
104120,104096,Nature,5
104120,104008,Nature,2
104120,104104,Nature,7
104120,104105,Nature,3
104120,104005,Nature,7
104120,104068,Nature,7
104081,104099,Nature,7
104081,104043,Nature,2
104081,104017,Nature,6
104081,104075,Nature,5
104081,104090,Nature,5
104081,104063,Nature,5
104081,104102,Nature,8
104081,104082,Nature,6
104081,104110,Nature,6
104081,104077,Nature,4
104010,104002,Nature,2
104010,104057,Nature,6
104010,104080,Nature,8
104010,104026,Nature,3
104010,104116,Nature,4
104010,104052,Nature,4
104010,104076,Nature,5
104010,104086,Nature,7
104010,104067,Nature,9
104010,104034,Nature,4
104062,104085,Nature,3
104062,104019,Nature,6
104062,104097,Nature,6
104062,104115,Nature,4
